Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_De_Gea  35 spa 12  1  1  1 22 159 773 952 411  25   0 2380   0  84  29   0   0   0   0   0   2   0   0 100
O_Christensen 27 den 10  1  1  1 20 100 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Comuzzo     21 ita  1 13  5  1 36 884 358 828 448  20   2 1709   1   0   0  22  11   4   0   1   2   0   0  86
Dodo          27 bra  1 13  5  4 16 460 428 940 624  21   1 1851   0   0   0  30  14  14   2   2   4   0   0  86
J_C_Todibo    26 fra  1 13  5  1 36 460  31 783 376  20   3 1558   0   0   0  19   9   3   0   0   4   0   0  91
N_Fortini     20 ita  1 12  4  4 18 708 902 587 885  20   3 1718   1   0   0  25  11   9   2   2   2   0   0  93
A_Wan_Bissaka 28 con  1 12  4  4 18 708 842 439 933  18   3 1407   1   0   0  21   7  14   1   0   6   0   0 100
M_Pongracic   28 cro  1 11  5  1 38 915 696 796 999  13   3  906   0   0   0   7   7   0   0   0   2   0   0 100
Luca_Ranieri  27 ita  1 11  5  1 38 742 559 956 472   8   2  624   0   0   0   5   2   2   0   0   4   0   0 100
F_Parisi      25 ita  1 11  4  4 20  94 377 512 672   6   1  528   0   0   0   4   1   7   2   0   0   0   0 100
Robin_Gosens  31 ger  1 11  4  4 20 830 534 175 512   8   2  591   0   0   0   3   2   1   1   0   0   0   0 100
E_Kouadio     20 ita  1 11  4  1 36 160 600 622 600   6   1  486   0   0   0   0   1   0   0   0   0   0   0 100
D_Rugani      31 ita  1 10  5  1 36 140 710 700 280   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matt_O'Riley  25 den  1  4 13  3 22 306 634 191 516  23  13 1232   1   0   0   3  28  14   3   1   2   0   0 100
H_Fagioli     25 ita  1  5 13  5 25 518 869  45 908  20   1 1808   1   0   0   4  35  21   4   3   2   0   0  86
Cher_Ndour    21 ita  1  4 12  5 20 977 214  48 649  16   4 1198   1   0   0   2  24  12   1   2   0   0   0 100
J_Fazzini     23 ita  1  3 12  4 30 291 606 230 407  16   5 1248   1   0   0   2  27  14   0   2   6   0   0  93
R_Mandragora  28 ita  1  5 11  2 36 583 707 802 295  13   0 1076   0   0   0   5  23   5   0   3   2   0   0 100
G_Fabbian     23 ita  1  2 11  5 18 636 988 940 118  16   4 1091   0   0   0   0  29   4   1   6   0   0   0 100
D_Zappacosta  33 ita  1  2 11  5 20 251 271  73  26   3   0  237   0   0   0   0   5   2   0   0   0   0   0 100
M_Bakker      25 hol  1  2 10  4 23 162 184 873 825   1   1   50   0   0   0   0   3   0   0   0   0   0   0 100
R_Piccoli     25 fra  1  4  5 13 26 962  40 865 317  20   2 1675   3   0   0   1   1  62   8   0   0   0   0  93
Y_Minteh      21 gam  1  1  6 12 20 462 253 389 787  21   3 1744   2   0   0   1   9  42   4   4   6   0   0  93
A_Gudmundsson 28 ice  1  3  4 12 36 671 814 410 277  14   1 1190   1   0   0   3   5  29   5   1   0   0   0  93
M_Solomon     26 isr  1  1  4 11 14 270 260 676 734  12   2  646   0   0   0   1   1  14   1   0   0   0   0  93
Jack_Harrison 29 eng  1  1  4 11 20 143 199 802 813  10   8  554   1   0   0   1   0   9   2   0   2   0   0 100
R_Breschi     19 ita  1  3  4 10 32 160 385 825 976   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
