Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Berke_Ozer    25 tur 12  1  1  1 22  31 793 972 431  26   0 2475   0 106  58   0   0   0   0   0   0   0   0 100
Arnaud_Bodart 28 bel 10  1  1  1 20 120 544 544 544   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Lukeba      23 fra  1 13  5  2 37 555 483 289 735   9   0  859   0   0   0  13   8   1   0   0   4   0   0  84
Nathan_Ngoy   22 bel  1 13  6  1 36 904 379  56 461  19   0 1671   1   0   0  23  16   2   1   5   2   0   0 100
E_C-Bitshiabu 21 fra  1 12  5  1 39 585 406 511 637   6   0  508   0   0   0  10   4   0   0   1   2   0   0  88
R_Perraud     28 fra  1 12  4  5 18 935  21 958 202  21   2 1814   0   0   0  23  11   8   1   1   0   0   0  84
Tiago_Santos  23 por  1 11  5  4 18 728 824 538 996  19   0 1718   0   0   0  19  10  14   2   1   8   0   0 100
C_Mawissa     21 fra  1 11  5  1 38 728 816 357 694  15   1 1337   0   0   0  19   3   1   0   0   2   0   0  94
R_Fernandes   23 por  1 10  4  1 36 180 797 659 655   8   3  575   0   0   0   8   1   1   0   0   0   0   0 100
O_Toure       21 fra  1 10  4  1 36 160 770 720 300   3   2  195   0   0   0   2   0   0   0   0   0   0   0 100
Richard_Rios  26 col  1  5 13  2 34 146 887 147 399  10   0  834   1   0   0   3  19   1   0   3   2   0   0  66
G_Puerta      22 col  1  5 12  5 26 160 693  30 942   8   0  627   1   0   0   3   8   8   0   0   0   0   0  88
J_Carrascal   28 col  1  2 12  6 21 138 149 868  90   8   1  698   0   0   0   0   4  14   2   0   2   0   0  73
Aladji_Bamba  19 fra  1  4 12  2 30 311 665 114 278  20  11 1085   0   0   0   4  22   6   0   0   2   0   0  88
Kevin_Castano 25 col  1  5 11  2 32 266 972 917 325   6   1  474   0   0   0   2   5   3   0   1   2   0   0  88
M-F_Pardo     21 bel  1  3  6 13 28 467 343 170  55  14   0 1231   4   0   0   6   4  64   6   1   4   0   0  99
M_Akliouche   24 fra  1  1  6 13 20 467 213 288  83  20   1 1653   1   0   0   1  11  58  10   0   2   0   0  94
Nilson_Angulo 23 ecu  1  2  5 12 18 139 142 836 932   7   3  449   0   0   0   0   1   8   1   0   0   0   0 100
Ethan_Mbappe  19 fra  1  1  4 12 20 163 193 847  19  10   3  645   0   0   0   0   1  18   4   0   0   0   0 100
J_Arevalo     21 ecu  1  3  4 11 28 150 278 612 956   5   4  194   0   0   0   0   0   4   1   0   0   0   0 100
Robino_Vaz    19 fra  1  3  4 11 14 290 227 645 767  11   6  601   0   0   0   1   1  16   3   0   0   0   0 100
Gaetan_Perrin 29 fra  1  1  4 11 22 290 405 845 974   1   1   21   0   0   0   0   0   1   0   0   0   0   0 100
