Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Matej_Kovar   26 cze 11  1  1  1 22 924 783 962 421  19   1 1741   0  71  30   0   0   0   0   0   0   0   0 100
Tom_de_Graff  21 hol 11  1  1  1 20 921 175 198 218   5   0  476   0  15  11   0   0   0   0   0   0   0   0 100
Niek_Schicks  22 hol 10  1  1  1 20 155 534 534 534   2   0  162   0   5   2   0   0   0   0   0   0   0   0 100
Jorrel_Hato   20 hol  1 12  5  5 16 128 601 568 562   7   0  662   0   0   0   7   3   3   0   0   0   0   0  62
Neco_Williams 25 wal  1 12  5  5 19 540 202 359 595   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
Mats_Rots     20 hol  1 12  5  4 16 132  98 585 655   6   6  124   0   0   0   1   0   0   0   0   0   0   0 100
Joaquin_Says  21 hol  1 11  5  4 18 118 660 610 750   7   1  582   0   0   0   4   1   4   1   0   0   0   0  65
J_Schreuders  21 hol  1 11  5  5 16 145 785 696 724   5   0  406   0   0   0   4   1   1   1   0   0   0   0  86
Matte_Smets   21 hol  1 11  5  1 34 140 124 781 584   6   3  422   0   0   0   5   4   0   0   0   0   0   0  86
K_Nedeljkovic 20 ser  1 10  5  4 20 470 968 408 397   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Kayi_Sanda  19 fra  1 10  5  1 38  90 950 955 233   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Anderson    23 eng  1  5 13  5 26 360 864 754 198   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
Q_Timber      25 hol  1  4 13  5 24 128 550 103 705   7   0  662   0   0   0   3   8   2   0   1   2   0   0  62
I_Sangare     28 ivo  1  5 12  2 38 292 818 805 779   1   0   96   0   0   0   1   0   0   0   0   2   0   0  93
E_Banzuzi     21 hol  1  4 12  5 26 148 575  49 825   5   0  338   0   0   0   0   8   6   0   1   0   0   0 100
A_Maksimovic  19 ser  1  2 11  4 18 373 419 494 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oscar_Bobb    23 nor  1  2  5 12 20 146 276 844 677   7   0  560   0   0   0   1   2  13   3   0   2   0   0  91
Suleman_Sani  19 nig  1  1  5 11 16 330 650 980 929   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Thomas      18 hol  1  1  4 10 20 330 650 980 929   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
