Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mila_Svilar   26 ser 13  1  1  1 22 120 773 952 411  24   0 2276   0  90  33   0   0   0   0   0   0   0   0 100
P_Gollini     31 ita 10  1  1  1 20 100 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Zelezny     19 pol  9  1  1  1 20 100 524 524 524   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Evan_Ndicka   26 ivo  1 13  5  1 36 884 283 774 403  15   0 1343   1   0   0  15   9   1   0   0   4   0   0  88
Wesley        22 bra  1 13  5  4 16 460 131 867 447  17   0 1611   0   0   0  26  13   8   0   0   4   0   0 100
G_Mancini     30 ita  1 11  5  1 38 708 696 482 825  13   0 1181   0   0   0  13   8   4   2   1   4   0   0  94
D_Ghilardi    23 ita  1 11  5  2 38 915 769 856  93  14   1 1136   2   0   0  11  10   3   1   0   4   0   0  94
J_Ziolkowski  20 pol  1 11  6  1 38 742 619   4 438  15   3 1169   0   0   0  12   5   1   0   0  18   0   0 100
Zeki_Celik    29 tur  1 11  4  4 20  94 560 675 586  17   3 1108   0   0   0  10   7   4   0   0   2   0   0 100
Angelino      29 spa  1 11  4  4 20 830 760 214 579  17   8  901   0   0   0  14   3   4   1   0   0   0   0 100
D_Rensch      23 hol  1 11  4  3 18 160 790 732 600   9   7  545   0   0   0   9   6   0   0   0   0   0   0 100
Mario_Hermoso 30 spa  1 10  5  1 36 140 710 700 280   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Pisilli     21 ita  1  4 13  5 20 977 298 106 627  21   2 1798   0   0   0   6  31  14   0   4   2   0   0  74
N_El_Aynaoui  24 mor  1  5 12  4 36 583 698 874 321  19   0 1705   1   0   0   5  32   7   0   2   8   0   0 100
Yasin_Ayari   22 swe  1  4 12  5 26 598 646 807 393  14   0 1184   1   0   0   2  23   9   1   4   4   0   0  83
L_Pellegrini  29 ita  1  3 11  6 18 636  25 770 254  16   4 1187   1   0   0   2  23  14   2   4   2   0   0 100
Youri_Regeer  22 hol  1  5 11  2 36 992 146 939 728  21   0 1467   0   0   0   1  42  11   2  10   4   0   0  94
Paul_Wanner   20 aut  1  3 11  6 18 656  45 930 227  19   7 1415   0   0   0   2  35  10   2   2   2   0   0  94
B_Cristante   31 ita  1  5 11  3 38 636  95 797  94  13   3  998   1   0   0   5  25   4   1   4   4   0   0  93
Kian_Fitz-Jim 22 hol  1  4 10  3 30 175 943 974 376  22  20  843   0   0   0   3  16   3   0   0   2   0   0 100
Marc_Roca     29 spa  1  4 10  2 34 173 848 945 282   4   3  194   0   0   0   1   4   1   0   0   2   0   0 100
Evan_Ferguson 21 ire  1  3  4 13 32 671 841 559 373  19   2 1431   1   0   0   4  13  41   6   0   0   0   0 100
Donyell_Malen 27 hol  1  3  6 12 28 447 248 232 793  20   3 1609   2   0   0   3   9  47   5   0   0   0   0 100
O_Sahraoui    24 mor  1  1  4 12 16 671 740 354 247  15   4 1097   0   0   0   2   6  31   4   0   0   0   0 100
G_Rutter      24 fra  1  4  5 12 28 977  18 906 857   8   1  705   1   0   0   1   4  25   3   0   2   0   0 100
Artem_Dovbyk  28 ukr  1  3  4 11 30 143 187 841 925   9   3  622   1   0   0   0   1  22   1   0   2   0   0 100
Aitor_Ruibal  30 spa  1  1  4 10 16 160 385 825 936   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
