Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Luiz_Junior   25 bra 12  1  2  1 22  39 848  28 486  23   0 2164   0  82  38   0   0   0   0   0   0   0   0 100
Diogo_Conde   27 spa 10  1  1  1 20 175 599 599 599   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Renato_Veiga  22 por  1 13  5  1 36 959 346 816 549  17   0 1601   0   0   0  19   7   4   1   1   4   0   0  85
Logan_Costa   25 fra  1 13  5  1 36 535 176 788 457  12   0 1132   0   0   0  14   6   1   1   0   2   0   0  91
Juan_Foyth    28 arg  1 12  6  1 34 817  26  79 534   6   0  471   1   0   0   6   3   1   0   1   4   0   0  91
Pau_Navarro   21 spa  1 12  5  2 38 990 151 787  75   9   3  484   0   0   0   8   3   0   0   0  20   0   0  91
Rafa_Marin    24 spa  1 11  5  1 38 783 637 579 846  12   0 1135   0   0   0   7  10   4   1   1   6   0   0 100
S_Mourino     24 uru  1 11  4  4 16 169 753 672 682  18   2 1621   0   0   0  19   5   7   1   0   2   0   0  91
Sergi_Cardona 26 spa  1 11  4  4 20 905 628 277 571   9   8  314   0   0   0   4   2   2   0   1   0   0   0  91
W_Kambwala    21 fra  1 10  4  1 34 235 735 724 675   3   0  282   0   0   0   3   1   0   0   1   0   0   0 100
Alex_Freeman  21 usa  1 10  4  4 16 215 845 775 355   4   1  218   0   0   0   3   0   0   0   0   0   0   0 100
S_Altimira    24 SPA  1  5 13  5 25 593 199 446 774  23   0 1595   1   0   0   5  28  17   0   2   6   0   0  85
Pape_Gueye    27 sen  1  6 13  5 25 593 996  30 757  20   1 1792   1   0   0   7  34  12   2   1   4   0   0  66
S_Comesana    29 spa  1  5 11  4 30 658 778 953 412  18   0 1710   0   0   0   6  32   8   1   1  10   0   0  74
Thomas_Partey 32 gha  2  5 11  2 34  53 455 953 552  18   0 1626   0   0   0  10  20   4   0   0  10   0   1  86
Dani_Parejo   37 spa  1  5 12  5 34 711 175 846 214  21  10 1347   1   0   0   5  26   7   1   2  14   0   0  85
G_Mikautadze  25 GEO  2  4  6 14 28  38  99 464 854  19   0 1677   0   0   0   1   3  41   6   0  14   0   0 100
A_Moleiro     22 spa  1  1  6 12 20 522 254 255 508  10   0  873   0   0   0   1   6  18   1   1   0   0   0  91
Nicolas_Pepe  30 ivo  1  1  4 12 16 235 503 914 337  19  14  799   0   0   0   1   0  21   4   0   2   0   0 100
T_Buchanan    27 can  1  1  5 12 18 746 771 332 266  17   0 1257   0   0   0   0   1  22   4   0   2   0   0 100
T_Oluwaseyi   26 can  1  3  5 11 28 345 255 678 708   5   5  146   0   0   0   0   0   6   2   0   0   0   0 100
Ayose_Perez   32 spa  1  3  4 11 30 218 248 995 875  10  10  340   0   0   0   0   4  10   1   1   0   0   0 100
