Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Carlos_Miquel 27 bra 12  1  1  1 20 536 185 193 205  12   0 1143   0  66  24   0   0   0   0   0   0   0   0 100
M_Hermansen   25 den 11  1  1  1 22 536 798 977 436  12   0 1132   0  38  24   0   0   0   0   0   0   0   0 100
A_Areola      33 fra 10  1  1  1 20 125 595 566 566   6   6   84   0   0   0   0   0   0   0   0   0   0   0 100
Willian_Pacho 24 ecu  1 13  5  1 36 172 736 962 334  12   0 1139   0   0   0  20   6   4   2   0   6   0   0  69
Alexsandro    26 bra  1 13  6  1 34 485 155 777 499  19   0 1786   0   0   0  27   7   9   0   2  16   0   0  69
Juan_Fedorco  25 arg  1 12  6  1 36 158 826 885 283   9   0  859   0   0   0  16   2   4   1   0   8   0   0  79
L_Di_Lollo    22 arg  1 12  5  1 34 168 195 803 173  10   3  728   0   0   0  17   4   0   0   0   4   0   0 100
Danilo_Veiga  23 bra  1 12  5  4 20 550  88 785 593  10   3  766   1   0   0   8   6   7   0   0   2   0   0 100
Khellven      25 bra  1 11  5  4 16 170 653 615 655   1   0   94   0   0   0   2   0   2   0   0   0   0   0 100
Martinelli    24 bra  1  5 13  2 34 274 972 291 561  16   0 1410   1   0   0   4  25  10   1   3   4   0   0  54
Hercules      25 bra  1  4 13  6 26 182 718 110 154  16   0 1495   1   0   0   3  22  15   3   4   2   0   0  55
C_Ordonez     21 ARG  1  6 13  5 30 440 312  95 343  17   0 1564   2   0   0   8  33  16   1   5   4   0   0  53
Manuel_Ugarte 25 uru  2  5 13  3 34   3 306  92 675  24   6 1582   1   0   0   6  31  12   1   2  12   0   0  68
Joel_Medina   18 arg  1  4 12  5 26 183 895 289 117  13   0 1236   0   0   0   1  19  12   2   1   0   0   0  54
M_Delgado     21 arg  1  5 12  2 36 170 789  50 465  10   0  814   0   0   0   2  16   7   1   3   4   0   0 100
Tomas_Soucek  31 cze  2  5 11  2 34   3 225 828 463  11   1  905   0   0   0   3  16   2   0   0   2   0   0 100
M_Pellegrino  24 arg  1  4  5 13 30 380 588 672 221  14   5  916   2   0   0   0   4  38   9   0   4   0   0 100
Wallace_Yan   21 BRA  1  3  6 13 24 172 310 335 290  12   3  906   1   0   0   1   5  34   8   0   0   0   0  79
L_Guilherme   20 bra  1  2  5 12 18 180 305 525 864  10   4  636   0   0   0   0   0  26   4   0   0   0   0 100
Pablo         22 bra  1  3  5 11 28 295 205 649 542   2   1   69   0   0   0   0   1   0   0   0   0   0   0 100
