Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Heerkens    20 hol 10  2  1  1 20 184 150 797 592   4   0  380   0   7   5   0   0   0   0   0   0   0   0 100
Luuk_Beerman  18 hol  1 11  5  5 20 223 178  74  79   7   0  629   0   0   0   9   7   2   1   0   0   0   0  74
Lucas_Jetten  18 hol  1 11  4  4 16 700 205 902 758  14   0 1332   0   0   0  16   4  11   1   0   6   0   0  74
A_Bouwman     18 hol  1 11  4  1 34 310 187 971 482  15   0 1420   0   0   0  13   5   2   0   0   6   0   0  71
J_Johnson     19 hol  1 10  5  1 34 375 234 244 467  11   1  974   0   0   0   8   6   3   0   0   0   0   0  66
Ethan_Butera  20 bel  1  9  4  4 18 948 801 558 976   5   2  414   0   0   0   6   2   5   0   0   2   0   0  93
M_Muzunga     18 fra  2 10  4  2 38 156  17 955 411  10   0  956   0   0   0  11   3   7   1   0   2   0   0  93
Jorthy_Mokio  18 bel  1  5 11  2 36 618 645 865 304  10   0  883   1   0   0   1  26   3   0   2   0   0   0  81
D_v_der_Vaart 20 hol  1  3 10  5 28 400 664 365 248  12   0 1029   0   0   0   1  16  12   0   0   2   0   0  69
M_Abdalla     16 hol  1  4 11  4 32 823 909  45 609  11   0 1017   0   0   0   4  22   9   1   2   2   0   0  93
N_Fernandez   18 bel  1  4 10  4 26 213 865 863 759   1   0   96   0   0   0   0   4   0   0   2   0   0   0  93
M_Verkuijl    20 hol  1  5 10  2 32 223  68 933 350   2   1   95   0   0   0   2   1   0   0   0   0   0   0 100
Kayden_Wolf   19 hol  2  2  5 11 16  68 140 583 704  14   3  945   1   0   0   2   8  42   5   0   0   0   0  89
Pharell_Nash  18 hol  1  1  5 10 20 687 419 273 646   8   5  369   0   0   0   1   0  16   0   0   0   0   0  93
D-A_Konadu    20 hol  1  3  4 10 18 523 547 725 627   9   1  738   1   0   0   1   2  40   4   1   2   0   0 100
P_Da_Silva    18 hol  1  3  5 10 26 312 589  23 193   7   2  444   0   0   0   2   2  11   2   0  10   0   0 100
Don_O'Niel    19 hol  1  1  4  9 18 308 310 872 902   8   6  299   0   0   0   0   5  11   0   0   2   0   0 100
