Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Esquivel    20 spa 12  1  2  1 22 179 943 123 581  14   0 1341   0  84  30   0   0   0   0   0   0   0   0 100
Juan_Gomez    15 spa 10  1  1  1 18 152 345 343 357   3   0  288   0  16  11   0   0   0   0   0   0   0   0 100
Javier_Bonar  20 spa  2 11  5  5 18  86  13  81 378  16   4 1200   0   0   0  14   9   9   1   1   0   0   0  76
Julio_Diaz    20 spa  1 11  5  4 16 630 217   9 762  14   0 1260   0   0   0  20   8  12   1   2   6   0   0 100
Aleksa_Puric  22 ser  1 11  5  1 38 878  30 694 894  17   4 1376   0   0   0  18  10   3   0   1   4   0   0  59
Luis_Gil      14 spa  1 10  5  4 20 330 511 351 276  16   0 1384   0   0   0  22  13   6   2   2   0   0   0  61
G_Spina       21 arg  1  9  4  1 34 230 966 831 315  11   1  953   1   0   0  13   6   3   0   1   2   0   0  68
Rayane_Belaid 21 spa  1  3 10  4 12 688  38 524 735  14   2 1231   0   0   0   4  22   8   0   2   0   0   0  79
J_Castillo    20 spa  1  3 10  5 32 330 970 616 314  12   1 1010   2   0   0   3  27  11   1   4   6   0   0  93
M_Parriego    20 spa  1  5 10  4 28 330  26 487 311  14   0 1175   0   0   0   5  24   8   2   0   2   0   0 100
Romeo_Hueso   19 spa  1  2 10  5 18 318 339 524 175  12   2  993   1   0   0   0  25   5   1   2  12   0   0  79
J_Monseratte  20 spa  1  2  9  4 18 753 788 785 395   9   0  818   0   0   0   2  14   2   0   0   4   0   0  84
Javi_Morcillo 20 spa  2  4 10  4 26 148 376  11 825  11   2  876   1   0   0   3  15   9   3   0   0   0   0  84
R_Najera      23 mex  1  1  6 11 18 617 351 379 573   8   0  687   2   0   0   0   6  26   6   1   2   0   0 100
Iker_Luque    20 spa  2  2  5 11 20 133 166 169 407  13   0 1157   0   0   0   0   8  50   5   0   0   0   0 100
Miguel_Cubo   18 spa  1  3  4 10 18 841 913 497 469  12   3  732   0   0   0   1   2  26   5   1   0   0   0 100
Daniel_Diaz   15 spa  1  1  5 10 21 343 342 127 364  11   6  701   0   0   0   0   4  21   3   1   0   0   0 100
Koke_Mota     21 spa  1  1  5 10 18 322 358 243 425  11   6  674   0   0   0   1   8  22   5   1   0   0   0 100
