Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rest        19 fra 11  1  1  1 18 755 670 670 670  17   0 1620   0  74  15   0   0   0   0   0   0   0   0 100
Jack_Porter   17 eng 10  1  2  1 22 377 893  73 531   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommy_Setford 20 eng 10  2  1  1 20   5  30 677 472   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Mosquera    21 spa  1 12  4  1 36 950 935 424 619  15   1 1310   0   0   0  20   8   2   0   0   2   0   0  90
Marti_Salmon  16 eng  1 11  4  1 36 580 133 884 500  15   4 1107   0   0   0  18   8   3   0   0   8   0   0 100
Jaden_Dixon   19 eng  1 10  4  1 38 828 932 589 884  15   1 1169   0   0   0  17   9   4   1   0   4   0   0  94
M_Washington  17 eng  1 10  5  4 20 391 505 279 155  17   7 1151   0   0   0  20   9   9   0   1   4   0   0  94
O_Scarles     20 eng  1 10  4  4 16 255 972 871 837  10   2  787   1   0   0  12   6   7   0   1   0   0   0 100
Josh_Nicols   19 eng  2  9  5  4 18  36 939  61 292  14   2 1078   0   0   0  12  12   8   1   1   2   0   0  97
Louie_Copley  18 eng  1  3 10  4 26 295 789 320 656  16   4 1127   1   0   0   1  31   7   0   4   2   0   0 100
Theo_Julienne 18 eng  1  3 10  4 24 243 719 416   6  12   5  841   1   0   0   1  28   3   1   2   0   0   0  94
I_Ibrahim     18 eng  1  5 10  2 32 638  89  90 812  12   3  960   1   0   0   8  28  11   1   1  10   0   0 100
D_Augustien   18 hol  2  2 10  4 18  98 291 136 793  12   2  941   1   0   0   1  22  13   1   3  16   0   0  94
H_Dudziak     20 eng  1  2  9  4 16 703 716 984 452  16   2 1089   0   0   0   1  27   6   1   1   0   0   0 100
Max_Dowman    16 eng  1  1  4 12 18 403 509 788 667  16   5 1106   3   0   0   2   8  50   7   1   2   0   0  94
A_H-Annous    18 eng  2  3  5 11 30  83 162  70 444  13   3 1013   4   0   0   2   6  49  10   0   6   0   0  88
Evan_Mooney   18 sco  1  2  5 10 28 567 391 418 987  16   6 1084   0   0   0   2   7  40   4   2   2   0   0 100
A_Stevens     20 eng  1  1  4 10 20 791 862 417 358  12   3  896   0   0   0   1   2  26   3   0   2   0   0 100
I_Kabia       20 hol  1  1  4 10 16 230 358 741  24  11   0  693   0   0   0   0   6  24   1   1   0   0   0 100
