Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Ferreira    19 por 10  1  2  1 22 317 833  13 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Oliveira    19 por  1 11  5  1 36 520 689 643 371   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jose_Neto     18 por  1 11  4  4 18 768 498 337 714   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Banjaqui    18 por  1 10  4  4 16 188 863 850 288   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Wynder      21 usa  1 10  4  2 38 975 588 712  63   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Moreira     20 por  1  2 12  4 18 578 815  46 495   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Rego     20 por  1  2 10  5 20 198 293 866 957   2   2   97   0   0   0   0   1   0   0   0   2   0   0 100
Joao_Veloso   20 por  1  3 10  4 24 187 732 764 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Figueiredo  17 por  2  4  9  3 26  38 188 626 462   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Anisio_Cabral 18 por  1  3  4 11 26 185 742 969  31   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jelani_Dumas  21 bel  2  4  4 10 28  23  39 870 586   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dudu          19 por  1  1  4  9 18 731 742 282 876   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
