Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Nils_Ramming  19 swe 12  2  2  1 22 386  54 233 691  17   0 1602   0  94  30   0   0   0   0   0   2   0   0 100
Steven_Hall   21 aus 10  1  1  1 18 519 440 442 446   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Noel_Atom     21 ger  1 11  5  1 38 432 539 348 613  17   0 1220   0   0   0  20  11   2   0   0   6   0   0 100
Jake_Evans    17 eng  1 11  5  1 34 290 234 908 395  12   0 1128   0   0   0  11   9   1   0   0  14   0   1  56
Jacob_Slater  21 ire  1 10  5  4 18 440 404 272 289  11   0 1039   0   0   0   9   3   5   0   0   2   0   0 100
C_Penman      20 eng  1 10  4  2 38 988 184 807  13  16   4 1218   0   0   0  21   9   2   1   2  16   0   0  60
F_Simmonds    18 eng  2 10  4  2 36 196  39 998 451  11   4  779   0   0   0  10   3   5   2   0   0   0   0 100
Zach_Brennan  17 eng  1  3 11  5 26 278 275 304 171  11   0 1038   1   0   0   0  17   8   1   1   2   0   0  56
Kofi_Shaw     19 eng  1  2 11  4 16 863 907 264 832  17   0 1406   1   0   0   1  31  20   0   3   2   0   0  85
Harry_Mills   20 eng  1  2 10  5 18 442 593 650 653  13   0 1174   0   0   0   1  24  23   0   2   2   0   0  66
Y_Owusu       20 eng  1  5 10  2 36 455 246 571 661  17   0 1558   0   0   0   6  28   5   1   1   8   0   0  55
J_Robertson   20 eng  1  3 10  4 22 440 734 589 378  17   6 1091   0   0   0   5  23   9   1   1   2   0   0  66
Daruis_Lane   18 usa  2  3 10  4 24 258 483  42 897  13   7  631   0   0   0   3  10  11   1   1   4   0   0 100
C_Kostoulas   18 gre  1  3  4 13 26 460 522 986 360  16   3 1293   3   0   0   5   8  53   7   0   0   0   0  55
S_Tzimas      20 gre  1  3  5 13 30 333 384 173 284  12   0 1007   1   0   0   0   6  39   2   1  12   0   0  66
N_Oriola      18 eng  1  1  5 11 20 423 508 170 375  10   6  492   0   0   0   2   4  31   2   0   2   0   0 100
Joe_Belmont   19 wal  1  3  5 10 32 433 551 216 216   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aidan_West    19 eng  1  1  5 10 16 440 676 160 305  14  14  316   0   0   0   0   2   4   1   0   4   0   0 100
