Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Zhuravsky   17 ukr 11  1  1  1 18 600 325 329 328  16   0 1531   1 146  42   0   0   0   0   0   0   0   0 100
Bruno_Klimek  19 pol 10  1  2  1 22 427 943 123 581   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angel_Ortiz   21 spa  1 11  5  5 18 782 401 207 402  12   0 1148   0   0   0  17  11  15   2   0   4   0   0  58
M_Navarro     18 spa  2 10  5  5 18  86 181 105 332  15   0 1436   1   0   0  21  11   5   2   1   0   0   0  58
M_Cuevas      18 spa  1 10  4  1 36 630  87 953 542   9   0  860   0   0   0  11   8   3   0   1   2   0   0 100
Carlos_de_Roa 16 spa  1 10  5  1 36 220 252  42 242   5   0  477   0   0   0  12   2   0   0   0   2   0   0 100
R_Guzman      18 per  1  9  4  1 38 878 986 568 889  11   0 1054   0   0   0  17   5   3   0   0   4   0   0  79
Curro_Macias  16 spa  1  9  4  3 20 330 775 770 445   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jose_Ortega   18 spa  1  3 11  5 28 330 538 661 481  16   0 1247   0   0   0   4  28  15   1   2  10   0   0  78
Trebu         18 spa  1  3 10  5 24 440 481 634 531  14   0 1341   0   0   0   2  25  15   3   1   2   0   0  63
Fran_Batan    17 spa  1  3 10  3 14 343  46 488 696  13   0 1242   1   0   0   2  23  10   2   3   4   0   0 100
Enzo_Fierro   16 spa  1  3 10  3 26 309 821 244 806  10   0  923   0   0   0   2  20   4   0   4   2   0   0 100
Rica_Funez    17 spa  1  3 10  3 24 301 567 331 988  15  15  351   0   0   0   0  15   0   0   4   2   0   0 100
Mique_Romero  16 spa  1  4 10  3 32 187 936 346 872   8   0  698   0   0   0   2  23   3   0   3   4   0   0  73
Pablo_Garcia  19 spa  1  1  4 12 14 310 266 819 316  25  17 1065   1   0   0   1   6  51   8   1   0   0   0  79
N_Doronins    17 lat  1  3  5 11 26 313 522 228 758  16   0 1233   0   0   0   6  11  65   8   0   0   0   0  79
Ruben_Da_Sa   18 spa  1  2  5 10 28 318 798 104 718  16   3 1310   0   0   0   1   8  44   5   1   4   0   0  88
J_Rodriguez   17 spa  1  2  5 10 24 330 583  60 553  11   0  802   1   0   0   1   3  31   4   0   0   0   0 100
Diego_Atienza 16 spa  1  3  3 10 26 298 549 814 271  16  13  519   0   0   0   0   2  17   0   0   2   0   0 100
Rafa_Oya      16 spa  1  1  4 10 20 323 385 770  49  16  16  366   0   0   0   0   0  12   4   0   0   0   0 100
