Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Ostrzinski  22 ger 11  1  2  1 22  96 943 123 581  13   0 1244   0  57  17   0   0   0   0   0   0   0   0 100
Y_Aktas       23 tur 10  1  1  1 20 191 694 694 694   4   0  384   0  15   9   0   0   0   0   0   0   0   0 100
Filippo_Mane  21 ita  1 11  5  1 36 440 596 448 703  16   4 1204   0   0   0  21  11   4   1   1   4   0   0 100
A_Dedic       19 bih  1 11  6  4 22 720 357  27 957  14   0 1347   1   0   0  15   9   7   0   0   0   0   0  84
D_Krevsun     21 ukr  1 11  4  1 36 630 396 920 576  15   2 1313   0   0   0  20   6   4   0   1   6   0   0  89
Luca_Reggiani 18 ita  2 10  4  1 36   1 936 375 639  12   2  999   0   0   0  14   3   0   0   0   6   0   0  84
Prince_Aning  22 hol  1 10  4  4 18 878 845 552 977   9   0  857   1   0   0  11   4   6   1   0   0   0   0  91
M_Pejazic     21 aut  2  9  5  5 18  86 835 959 264   8   1  666   0   0   0   5   6   5   0   0   4   0   0 100
N_Quiala      20 ger  1 10  5  1 34 218  15 951 397   5   1  332   0   0   0   4   2   1   0   0   2   0   0 100
Nick_Cherny   18 ger  1  4 11  4 30 688 982 710 856  16   0 1276   3   0   0   2  30  12   1   6   8   0   0  81
Tony_Reitz    21 ger  1  4 11  2 34 753 784 102 479  16   5 1179   1   0   0   2  31   7   0   3   4   0   0  73
F_Paschke     21 ger  1  4 10  2 34 325 884 602 559  16   1 1287   1   0   0   3  22   3   0   5   4   0   0 100
Mussa_Kaba    17 ger  2  4 10  2 36 148 409 238 713  16   6 1036   0   0   0   4  26   7   0   2  10   0   0  84
T_Fletcher    19 sco  2  4  9  3 32  88 339 928 599  14   5  975   0   0   0   4  15   5   0   0   2   0   0  91
Rodrigo_Rego  21 por  1  1  5 12 20 557 277 245 206   7   0  559   0   0   0   0   4  22   1   0   0   0   0  91
Chida_Obi     18 den  1  3  5 12 32 557 298 695 110  12   1  954   3   0   0   1   2  47  10   0   4   0   0  91
Goncalo_Ramos 18 por  1  1  5 11 18 720 560 936 504  16   8  832   0   0   0   1   5  27   6   0   4   0   0  91
Victor_Musa   19 eng  1  2  4 10 34 781 890 412 186   8   4  540   0   0   0   3   3  13   2   0   2   0   0 100
Mathis_Albert 16 usa  1  1  4 10 18 841 898 409 226   4   1  316   0   0   0   1   0  12   2   0   0   0   0 100
Arne_Wessels  20 ger  1  1  4 10 20 312 442 821 438   9   3  495   2   0   0   1   2  25   3   1   0   0   0 100
Kevin_Mutove  21 ger  1  3  4 10 30 230 565 941  27   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
