Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
B_Speight     20 ger 12  1  1  1 18  73 220 220 243  17   0 1622   0 123  40   0   0   0   0   0   0   0   0 100
Yurij_Obert   20 ger  9  1  2  1 22 327 843  23 481   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Elias_Baum    20 ger  1 11  5  4 18 195 316  30 446  19   0 1808   0   0   0  23  12   6   0   0   4   0   0  84
J_Maluze      21 ger  1 10  5  1 34 218 413 151 454  14   0 1336   1   0   0  17   5   3   0   0   6   0   0  53
N_Neuendorff  18 ger  1 10  4  3 10 321  14 819 901  14   0 1333   0   0   0  14   8   9   1   0   0   0   0 100
F_Doumbia     21 mal  1  9  4  1 36 530 875 706 386   5   0  466   0   0   0   9   3   1   0   0  12   0   0  79
D_Bautista    21 ecu  1  9  4  1 38 778 534 397 708   5   0  481   0   0   0   2   3   0   0   0  14   0   0 100
Maurice_Spahn 19 ger  1  9  4  5 18 985 972 905 300  14   0 1333   0   0   0  17   6  12   1   2   2   0   0 100
Love_Arrhov   17 swe  1  2 11  5 18 230 385 738 389  17   0 1537   1   0   0   1  38  12   2   2   0   0   0  57
R_Hanashiro   20 jap  2  3 11  4 20  48 276 309 715  17   0 1622   0   0   0   3  38  13   1   3   2   0   0  53
Marvin_Dills  19 usa  1  2 10  5 25 588 856 956 564   6   0  573   0   0   0   0  21   2   0   3   2   0   0  65
Eba_Bekir_Is  17 ger  1  4 10  2 36 653 808 978 535  17   0 1622   0   0   0   6  30   8   3   1   2   0   0  53
J-M_Bahoya    21 fra  2  2  6 13 18  33 105 146 458  20   0 1518   0   0   0   1  11  70   9   0   4   0   0  65
Alex_Staff    17 ger  1  3  6 10 30 517 254 197 637  17  14  596   0   0   0   0   3  19   3   0   0   0   0 100
K_Kumashiro   18 jap  2  4  5 10 28  33  92 960 946  17  14  589   1   0   0   1   3  22   3   0   0   0   0 100
D_Starodid    22 ger  1  3  4 10 36 741 746 396 609  17   3 1033   4   0   0   0   5  43   9   0   4   0   0 100
A_Gaul-Souza  18 ger  1  2  4 10 34 340 317 848 130  14   3 1133   1   0   0   2   5  35   3   2   4   0   0 100
