Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Fernandes   21 por 10  1  2  1 22 427 943 123 581   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Penders     19 bel 11  1  1  1 18 388 720 720 720  16   0 1524   0  48  12   0   0   0   0   0   0   0   0 100
G_Silva       20 por 10  1  1  1 20 101 343 398 374   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Prpic       21 cro  1 12  5  1 36 313 503 415 514  17   2 1378   1   0   0  27  19   3   1   1   6   0   0  93
Martim_Cunha  19 POR  2 11  5  4 18  86  94 491 396  14   2 1103   1   0   0  18   6   9   1   1   0   0   0  93
Yoan_Pereira  18 por  1 10  5  4 20 289 388 393 185  14   2 1099   0   0   0  12  12   5   0   1   0   0   0  93
Dinis         21 por  1 10  4  5 18 878 936 561  76  15   3 1120   0   0   0  13   3  10   1   0   2   0   0  96
Luis_Gomes    21 por  1 10  5  1 36 332 278 330 490  13   3  973   0   0   0  10  11   2   0   2   6   0   0 100
Felipe_Sousa  19 por  1 10  4  1 34 232  92 868 390  10   4  699   0   0   0   9   3   1   0   0   2   0   0 100
Kaue          21 bra  1  4 12  4 26 688 926 961 752  15   1 1156   3   0   0   0  51   7   1   6  14   0   1 100
Joao_Abreu    17 por  1  3 10  4 30 327 674 971 798  11   0  967   1   0   0   4  18   9   1   3   2   0   0  93
Bernardo_Lima 18 por  2  4 10  4 26 148 459 243 734  13   0 1097   1   0   0   5  26   6   1   2   2   0   0  86
Tiago_Silva   18 por  1  4 10  2 34 332 550 260 553  16  11  759   0   0   0   2  15   3   0   4   0   0   0 100
Eirik_Granaas 16 nor  1  4 10  3 26 230  14 276 774   9   4  561   1   0   0   1  15   3   0   2  10   0   0 100
Anha_Cande    18 por  1  3  5 12 32 617 388 301 835  12   2  957   3   0   0   2   4  47  11   0   2   0   0  93
Deniz_Gul     21 tur  1  3  4 12 32 323 599 728 385  15   2 1150   3   0   0   2   2  49   9   1   4   0   0 100
Goncalo_Sousa 19 por  1  1  4 11 21 841 852 524 352  11   6  634   0   0   0   0   6  28   2   0   0   0   0 100
B_Caicedo     19 col  2  2  5 11 20 133 166 128 446  11   3  821   2   0   0   0   6  46   9   0   0   0   0 100
O_Piet'zewski 18 pol  1  2  5 10 24 302 317 149 437  14   1 1119   0   0   0   0   8  36   2   0   0   0   0  86
