Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alain_Taho    19 alb  9  1  2  1 22 377 893  73 531   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ayden_Heaven  19 eng  1 11  4  1 26 930 951 419 671  16   8  875   0   0   0  18   5   3   0   1   0   0   0 100
T_Della_Mora  19 ita  1  9  4  3 16 580 749 703 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Jakirovic   18 cro  1  9  4  1 38 828 558 397 774   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Bovio       18 ita  2  9  4  2 36  36 648 772 123   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Reece_Munro   19 eng  2  9  4  2 38  26 824 869 213  11   8  460   0   0   0   9   5   5   0   0   2   0   0  81
M_Kante       20 fra  1  4 11  2 30 386 639 248 375  12   1 1040   0   0   0   0  23   8   0   1   0   0   0  83
M_Venturini   19 ita  1  4 10  4 25 638 875 576 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_La_Torre    18 ita  1  4 10  2 36 703 688 503 311   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Stankovic   20 ser  1  4 10  2 36 341 898 895 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Akinsanmiro 21 nig  1  3  9  4 26 230 345 674 674   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Mosconi     19 ita  2  4  4 10 32  83  99 930 646   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pinotti     19 ita  1  1  4  9 20 791 802 342 936   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
