Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
C_Bloedron    20 eng  9  1  2  1 22 317 833  13 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Byfield     17 emg  1 11  4  1 36 520 689 643 371   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maeson_King   20 eng  1  9  4  1 38 768 498 337 714   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Calum_Logan   19 eng  1  9  4  4 18 975 588 712  63   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Olusesi     19 eng  1  3 11  4 24 293 317 803 666   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matthew_Craig 23 sco  1  4 10  2 32 220 885 844 666   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dan_Batty     19 eng  1  2  9  4 21 208 888 993 322   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Wilson  19 sco  1  3  5 11 26 507 210  93 292   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mason_Melia   18 ire  2  4  4 10 32  23  39 870 586   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_McFadden  20 eng  1  1  4  9 26 731 742 282 876   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
