Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Barbieri    19 ita 11  1  1  1 20 971 213 288 236  17   0 1616   0 113  40   0   0   0   0   0   4   0   0 100
Mason_Terry   21 eng  9  1  2  1 22 327 843  23 481   8   8  135   0   0   0   0   0   0   0   0   0   0   0 100
A_Rinaldi     18 ita  1 11  5  1 34 255 339 294 620  15   2 1232   0   0   0  18   8   7   1   5   0   0   0  70
Joao_Souza    19 bra  1 10  4  1 36 778 836 487 956  12   0 1141   0   0   0  16   6   7   2   0   6   0   0  70
Weverson      17 bra  1 10  5  2 36 985 414 127 323  11   1  971   0   0   0  19   9   9   2   0   4   0   0  80
Joao_Ananias  19 bra  1 10  5  1 32 159 243  94 501   6   0  568   0   0   0  11   3   4   0   0   2   0   0 100
Josh_Briggs   20 eng  1 10  4  1 36 230  42 907 903   4   0  354   0   0   0   7   1   1   0   0  10   0   0 100
G_Doue        18 fra  1  4 11  6 20 610 702 210 184  18   4 1348   1   0   0   3  21  24   3   1   2   0   0  70
Mateo_P_Curci 20 arg  1  2 11  5 20 198 374 374 171  13   1 1117   0   0   0   2  24  14   1   3   2   0   0  83
Mohamed_Kante 20 fra  1  4 11  2 34 303 471 349 874  13   2 1088   0   0   0   5  27   8   1   4   2   0   0  55
Everton       19 bra  1  4 11  2 34 463 593 233 397  12   0  919   0   0   0   2  32   7   0   5  16   0   0 100
Tobias_Bacar  18 arg  1  1 10  5 21 218 892 400 339   8   0  761   2   0   0   0  19  12   3   4   4   0   0  70
Aaron_Kamara  18 eng  1  4 10  4 26 168 693 178 912  13   0 1148   0   0   0   2  21   9   0   3   0   0   0  64
Wesley        21 bra  1  1  5 11 16 195 434 895 723   8   0  695   3   0   0   0   1  40  11   0   2   0   0  84
Nicolo_Baldo  19 ita  1  3  6 10 28 507 261 156 655  12   6  616   1   0   0   2   2  19   5   1   2   0   0 100
Dilan_Gerez   18 arg  2  4  4 10 30  33 142 938 460   9   3  617   1   0   0   3   2  21   5   0   2   0   0 100
A_Frascolla   18 ita  1  3  4 10 28 731 753 359 275   6   0  570   0   0   0   0   3  20   5   0   4   0   0 100
R_Junior      18 bra  1  1  4 10 16 170 281 730 218   6   0  532   0   0   0   0   4  21   1   1   0   0   0  86
