Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sten_Kremers  25 hol 25  3  3  3 20 357 209 284 284   3   0  287   0  15   1   0   0   0   0   0   0   0   0 100
R_Owusu_Oduro 23 hol 16  1  1  1 18 665 460 520 496   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Jetten  23 hol  1 18  7  6 22 990 797 653 377   3   0  287   0   0   0   4   1   5   1   1   0   0   0  79
Abner         27 bra  1 17  7  7 21 911 718 817  35   3   0  287   0   0   0   2   4   3   0   0   0   0   0  79
Kevin_Diks    30 hol  1 16  7  6 20 556 871 818 904   3   0  235   1   0   0   5   1   5   2   0   0   0   0  91
Ethan_Butera  22 bel  2 16  6  2 40 303 681 480 832   3   1  242   0   0   0   5   0   0   0   0   4   0   0  93
S_Sloncik     21 cze  1 15  7  3 36 843 135 127 375   2   0  142   0   0   0   1   0   3   1   0   0   0   0  97
R_v_de_Riet   22 hol  1 15  7  5 19 877  69  61 989   2   1  148   0   0   0   2   1   0   0   0   2   0   0 100
R_Gravenberch 26 hol  1  6 21  8 26 783 316  73 520   3   0  287   0   0   0   0   5   5   0   0   0   0   0  79
Ederson       29 bra  1  5 20  3 36 377 535 914 354   3   0  250   0   0   0   0  13   4   1   1   0   0   0  84
Andrey_Santos 25 bra  1  4 19  7 20 880 922 365 487   3   1  179   0   0   0   0   3   0   0   0   0   0   0  97
Luis_Hasa     24 ita  1  4 19  9 22 648 693 609 125   3   0  232   1   0   0   0   6   7   2   3   0   0   0  93
Rida_Chahid   23 hol  2  4 17  6 24 241 993 656 184   3   3  106   0   0   0   0   3   0   0   0   2   0   0 100
Silvano_Vos   23 hol  2  6 16  4 38 543 309 604 168   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tygo_Land     22 hol  1  5 16  6 26 438 260 722 454   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gilberto_Mora 19 mex  1  3 16  6 18 120 162  18 865   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dani_de_Wit   22 hol  1  2 15  6 26 339 610 857 233   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Enzo          24 bra  1  3 14  5 22 420 339 826 485   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcus_Thuram 30 fra  1  2  7 24 32 676 509 221 432   3   0  287   1   0   0   0   1  14   3   0   2   0   0  79
Estevao       21 bra  1  4  7 19 21 842 855 548 795   1   0   94   0   0   0   1   0   4   2   0   0   0   0 100
Rayan_Vitor   21 bra  1  2  6 17 19 120 762 705 240   1   0   94   0   0   0   1   0   2   0   0   0   0   0 100
Skye_Vink     22 hol  1  5  5 15 18 854 240 886 159   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
