Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jan_Oblak     37 spa 20  1  1  1 22 843 753 171 160   4   0  376   0  27   3   0   0   0   0   0   0   0   0 100
C_Azpilicueta 37 spa  1 18  6  1 30 634 267 104 867   3   0  283   0   0   0   5   2   0   0   1   2   0   0  93
Nahuel_Molina 28 arg  1 18  6  6 21 751  10 511 437   4   2  286   0   0   0  10   3   4   1   0   0   0   0 100
Axel_Witsel   33 bel  1 17  5  1 33 921 551 715 364   2   0  187   0   0   0   2   2   1   1   0   0   0   0 100
Javi_Galan    31 spa  1 16  5  4 22 778 151 331 820   3   0  234   0   0   0   4   4   2   0   0   0   0   0  93
Reinildo      32 moz  1 17  4  4 21 233  24 878 409   2   0  138   0   0   0   6   0   0   0   0   0   0   0 100
M_Bakker      26 hol  1 16  6  5 16 246 314 326 455   2   1   94   0   0   0   0   1   2   0   0   0   0   0 100
M_Llorente    31 spa  1  2 19  6 27 739 673 479 850   4   0  327   0   0   0   1  10   5   0   0   0   0   0  85
Pablo_Barrios 22 spa  1  5 18  5 32 474 555 546 905   4   1  331   0   0   0   2  12   2   0   0   2   0   0  90
Fabian_Ruiz   31 spa  1  4 18  4 29 585 809 485 571   3   0  283   0   0   0   0   6   1   0   0   0   0   0  93
Thomas_Lemar  30 fra  1  1 17  5 21 792 810 959 912   3   0  234   0   0   0   0   4   0   0   0   0   0   0  93
Stefan_Kovac  28 bos  1  3 16  5 24 273 450 878 338   2   1  142   0   0   0   0   4   0   0   1   0   0   0 100
R_DePaul      32 arg  1  5 16  5 28 842   1 100 279   1   0   93   1   0   0   1   2   2   0   2   0   0   0 100
G_Simeone     23 arg  1  2  7 18 21 110 501 203 320   3   0  283   0   0   0   1   0  13   0   0   0   0   0  93
Angel_Correa  31 arg  1  2  7 17 30 151 433  23 590   2   0  187   0   0   0   0   2   8   0   0   0   0   0 100
F_Balogun     25 usa  1  1  5 17 27 386 820 998 420   4   1  294   0   0   0   0   2  13   1   0   0   0   0  93
Alex_Sorloth  30 nor  1  3  5 17 26 223 381   9  28   3   1  189   0   0   0   2   1  10   1   0   0   0   0  93
R_Riquelme    26 spa  1  1  4 16 20 998 342 666  84   3   1  175   0   0   0   0   0   5   1   0   0   0   0 100
Samuel_Lino   27 spa  1  1  4 15 20 902 203 775 378   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
