Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Soares      25 por 13  1  1  1 20 833 669 957 314   2   0  191   0   9   5   0   0   0   0   0   0   0   0 100
A_Trubin      26 ukr 12  1  1  1 40 738 669 957 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jensen_Seelt  25 hol  2 18 10  4 38 809 264 601 580   2   0  191   0   0   0   4   0   1   0   0   0   0   0  86
Antonio_Silva 24 POR  1 18  7  4 33 509  18 772 181   1   0   93   0   0   0   3   1   0   0   0   0   0   0 100
Attila_Szalai 28 hun  1 18  5  3 29 880  79 906 342   2   0  191   0   0   0   1   3   0   0   0   0   0   0  86
Ryley_Towler  26 eng  2 16  7  3 38 392 655 524 334   2   0   90   0   0   0   0   0   0   0   0   0   0   0 100
Morata        26 por  1 16  8  2 36 718 216 223 600   2   2  101   0   0   0   3   1   0   0   0   0   0   0 100
Jens_Stryger  33 den  1 16  6  4 28 760 676 634 259   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Golo_Kante  34 fra  1 10 19  4 29 600   3 356 623   2   0  191   0   0   0   1   4   1   0   0   0   0   0  86
James_Garner  27 eng  1  5 19  7 25 842 875 990 498   2   0  191   0   0   0   0   5   4   0   0   0   0   0  86
Joao_Mario    35 por  1  4 18  7 32 967 589 285 149   2   0  191   0   0   0   0   4   2   0   0   0   0   0  86
A_Milambo     23 hol  1  5 18  5 27 220 775 708 569   2   0  157   0   0   0   1   2   0   0   1   0   0   0  99
M_Siopis      30 gre  1  9 16  4 30 600 817 357 492   2   1  127   0   0   0   0   2   0   0   0   2   0   0 100
D_Braganca    29 por  1  4 15  5 35 509 107 516 872   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrygo       27 bra  2  3  7 18 33 219 768 290 726   2   0  143   0   0   0   0   0   7   0   0   0   0   0  91
G_Raspadori   25 ita  1  4  6 18 30 140 422 834 437   2   1  146   0   0   0   1   1   4   0   0   0   0   0  91
J_Karlsson    29 swe  1  2  6 15 20 110 348 775  80   1   0   98   0   0   0   0   0   7   2   0   0   0   0  91
