Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Nikita_Haikin 30 rus 14  2  2  1 24 338 351 343 411   4   0  382   0  20  10   0   0   0   0   0   0   0   0 100
Isak_Sjong    19 nor 13  1  1  1 22 492 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fred_Sjovold  22 nor  1 15  4  4 18 410 548 897 187   4   0  334   0   0   0   4   1   0   0   0   2   0   0  84
Odin_Bjortuft 27 nor  1 14  4  1 36 321 842 925 455   4   0  331   0   0   0   8   3   0   0   0   2   0   0  84
F_Bjorkan     27 nor  1 14  4  4 22 307 578 861 624   4   1  337   0   0   0   4   2   1   0   0   2   0   0  88
V_Nielsen     21 den  1 14  4  1 36 234 943 231 609   3   0  285   0   0   0   7   1   0   0   0   2   0   0  88
J_Gundersen   29 nor  1 14  4  1 38 363 155 590 381   3   1  241   0   0   0   1   2   0   0   0   0   0   0  94
H_Aleesami    34 nor  1 14  4  1 36 110 976 980 450   2   0  193   0   0   0   1   0   0   0   0   0   0   0 100
Patrick_Berg  28 nor  1  5 15  2 34 349 194 278 410   3   0  285   0   0   0   1   9   1   0   0   0   0   0  88
Hakon_Evjen   26 nor  1  4 15  5 32 385  91   9 269   3   0  235   0   0   0   1   5   3   0   0   0   0   0  94
S_Auklend     22 nor  1  4 14  4 26 454 842 140 689   3   1  241   0   0   0   0   5   2   0   0   0   0   0  94
M_Riisnaes    21 nor  1  3 14  4 24 263 574 655 506   2   0  141   0   0   0   1   5   0   0   0   0   0   0 100
Anders_Klynge 25 den  1  4 14  4 30 318 787 734 302   2   1  148   0   0   0   2   3   0   0   0   0   0   0 100
U_Saltnes     33 nor  1  4 14  4 20 541 124 449 127   1   0   93   0   0   0   0   3   2   0   0   2   0   0  94
Kaspar_Hogh   25 den  1  3  5 15 24 331 737 343 830   2   0  192   0   0   0   1   0   1   0   0   0   0   0 100
O_D_Blomberg  25 nor  1  1  4 15 21 750 897   1  11   3   1  192   0   0   0   0   0  11   0   0   0   0   0 100
J_P_Hauge     26 nor  1  1  5 14 20 326 305 728 105   3   0  234   1   0   0   0   1  11   1   0   0   0   0  94
Daniel_Bassi  21 nor  1  1  4 14 20 112 517 869 876   3   1  190   0   0   0   0   1   7   0   0   0   0   0 100
I_D_Maatta    24 nor  1  1  4 14 18 120 220 550 765   2   1   96   0   0   0   0   0   1   0   0   0   0   0 100
A_Mikkelsen   25 nor  1  3  4 14 32 230 350 660 660   1   1   52   0   0   0   0   0   0   0   0   0   0   0 100
