Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Kotarski    26 cro 15  2  2  1 24 306 351 343 411   5   0  475   0  21  12   0   0   0   0   0   0   0   0 100
Oscar_Burr    19 den 13  1  1  1 22 492 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ruben_Dias    30 POR  1 15  7  2 38 567 222 981 664  14   0 1338   0   0   0  12   6   4   0   1   6   0   0 100
J_Suzuki      22 jap  1 15  5  1 36 110   5  24 450   3   0  233   0   0   0   4   2   0   0   0   0   0   0 100
Birger_Meling 31 nor  1 15  4  1 38 200   3 902 358   3   1  238   0   0   0   7   1   1   0   0   0   0   0 100
R_Huescas     22 mex  1 15  4  4 16 321 789 859 519   3   0  285   0   0   0   5   0   2   1   0   2   0   0 100
Marcos_Lopez  26 per  1 14  4  4 22 307 580 819 641   3   0  287   0   0   0   4   0   2   0   0   0   0   0  93
P_Hatzidiakos 29 gre  1 14  4  1 36 234 875 209 609   3   0  285   0   0   0   4   0   0   0   0   2   0   0  93
Aurelio_Buta  29 por  1 14  4  4 18 363 171 590 381   3   0  285   0   0   0   2   2   0   0   0   0   0   0  93
M_Mattsson    26 den  1  4 15  4 32 385  63  69 235   4   0  331   0   0   0   0   9   1   0   0   2   0   0  86
A_Richardson  24 fra  1  4 14  4 34 349 167 249 416   4   0  380   0   0   0   0   6   2   0   0   2   0   0  86
William_Clem  21 den  1  5 14  2 36 454 867 299 654   5   1  381   0   0   0   1  14   0   0   3   0   0   0  91
M_E_Madsen    28 den  1  3 14  4 24 263 543 781 502   4   1  336   0   0   0   0  13   0   0   2   4   0   0  93
T_Delaney     34 den  1  4 13  4 30 318 735 711 302   2   0   90   0   0   0   0   1   0   0   0   0   0   0 100
Oliver_Hojer  19 den  1  3 13  4 20 541 126 467 154   2   2  102   0   0   0   0   4   3   0   0   0   0   0 100
J_Larsson     28 swe  1  1  4 15 28 750 926 116  35   5   3  340   0   0   0   1   4  12   2   1   0   0   0 100
Kaio_Jorge    25 bra  1  4  6 14 26 692 137 593 729   8   0  765   1   0   0   1   5  29   5   1   2   0   0  93
M_Elyounoussi 31 nor  1  3  5 14 24 331 737 343 950   4   0  281   0   0   0   1   0  12   1   0   0   0   0 100
E_Achouri     27 tun  1  1  4 14 20 326 305 751  90   4   0  278   1   0   0   0   2   6   1   0   0   0   0 100
V_Dadason     17 ice  1  3  3 13 28 120 218 548 791   2   1   94   0   0   0   0   0   3   0   0   2   0   0 100
Liam_West     18 nor  1  1  3 13 32 230 350 660 660   1   1   49   0   0   0   0   0   0   0   0   0   0   0 100
