Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Claudio_Ramos 36 por 17  1  1  1 34 928 351 343 411   4   0  381   0   7   6   0   0   0   0   0   0   0   0 100
S_Portugal    33 bra 15  1  1  1 22 976 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nehuen_Perez  27 arg  1 17  6  1 34 410 760 345 335   4   0  330   0   0   0   5   4   0   0   0   2   0   0  84
Rafa_Marin    25 spa  1 17  6  2 38 273 363 323 458   4   1  336   0   0   0   2   3   0   0   0   2   0   0  86
Zaidu         30 nig  1 16  4  5 16 363  40 722 127   4   1  289   0   0   0   4   4   4   0   0   2   0   0  86
A_Rrahmani    33 bos  1 16  4  1 36 273 715 890 949   3   0  289   0   0   0   2   1   1   0   0   0   0   0  86
Wendell       34 bra  1 15  5  5 21 308 500 411 140   3   0  233   0   0   0   4   1   3   0   0   0   0   0  93
F_Moura       28 por  1 15  5  5 24 307 787 967 944   2   1  143   0   0   0   6   0   2   0   0   0   0   0 100
Ze_Pedro      30 por  1 15  5  1 39 325 592 560 885   1   0   96   0   0   0   1   0   0   0   0   0   0   0 100
I_Marcano     40 spa  1 13  4  2 37 319 482 742 491   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Gonzalez    25 spa  1  5 18  7 22 355 515 449  84   4   0  310   0   0   0   0   4   5   1   1   0   0   0  80
Bilal_Nadir   24 mor  1  4 16  5 26 457  35 992 214   3   0  235   0   0   0   1   5   5   0   0  12   0   0  99
Djibril_Sow   31 swi  1  4 16  3 36 116 977 282 787   4   2  282   0   0   0   1   3   1   0   0   2   0   0 100
Vasco_Sousa   24 por  1  2 16  5 28 318 835 918 845   3   0  285   0   0   0   0   3   3   0   0   0   0   0  93
S_Eustaquio   30 can  1  4 15  5 33 263 604 979 465   3   1  259   0   0   0   1   5   0   0   0   0   0   0 100
Andre_Franco  29 por  1  1 15  4 20 541 983 371 944   3   0  242   1   0   0   0  16   2   0   0   0   0   0  93
Jarrod_Bowen  31 eng  1  3  5 19 26 352  65 992   7   3   0  238   0   0   0   0   0   8   0   0   0   0   0 100
Son_Heung-Min 36 kor  1  2  5 17 26 625 614 422 552   2   0   90   0   0   0   1   0   3   0   0   0   0   0 100
Pepe          30 bra  1  1  5 17 20 326 488  79  15   3   3  150   0   0   0   0   0   5   1   0   0   0   0 100
Galeno        30 bra  1  1  5 16 18 331 763 448 783   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Namaso      27 eng  1  2  5 16 30 294 944  79 155   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Deniz_Gul     23 tur  1  2  5 14 21 113 955 356 992   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
