Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
U_Cakir       30 tur 17  2  2  1 24 707 351 343 411   5   0  473   0  17   5   0   0   0   0   0   0   0   0 100
E_Emre_Buyuk  20 tur 14  1  1  1 22 293 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Sanchez     30 col  1 18  7  1 38 410  34 130 267   4   0  377   0   0   0   6   5   3   0   1   2   0   0  86
Sacha_Boey    26 fra  1 17  5  4 16 321 449 211 592   4   0  341   0   0   0   8   0   0   0   0   0   0   0  99
R_Sallai      29 hun  1 17  5  4 22 307  91 195 792   5   1  373   0   0   0   5   5   0   0   1   2   0   0  96
I_Jakobs      27 sen  1 16  5  4 20 234 327 451 753   3   0  283   0   0   0   5   1   0   0   0   0   0   0  93
Erin_Elmali   26 tur  1 15  4  1 38 363 881 907 521   3   1  180   0   0   0   2   1   0   0   0   0   0   0 100
M_Baltachi    24 tur  1 15  5  1 38 200 587 203 440   2   1  145   0   0   0   3   0   0   0   0   0   0   0 100
Arda_Unyay    20 tur  1 14  5  1 36 110 741 381 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yunus_Akgun   26 tur  1  2 18  5 22 385 249 738 699   4   0  379   1   0   0   3  10   3   1   2   0   0   0  93
Gabriel_Sara  20 gre  1  5 18  6 30 349 414 204 916   5   0  442   1   0   0   1   9   3   1   2   2   0   0  79
L_Torreira    31 uru  1  6 16  3 36 454 990 400 740   3   0  287   0   0   0   2   4   2   0   0   0   0   0  93
Mario_Lemina  33 fra  1  5 15  3 34 263 602 735 565   4   0  281   0   0   0   0   5   0   0   0   0   0   0  93
Kaan_Ayhan    32 tur  1  5 15  2 30 318 787 865 338   5   3  236   0   0   0   1   4   0   0   0  12   0   1 100
Renato_Nhaga  19 por  1  4 14  4 20 541 526 416 494   1   1   39   0   0   0   0   0   0   0   0   0   0   0 100
G_Gurpuz      20 tur  1  5 14  3 36 110 181 581 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_A_Yilmaz    26 tur  1  2  6 18 24 331 835 640 375   5   1  428   0   0   0   0   0  13   1   0   2   0   0  84
Leroy_Sane    31 ger  1  3  6 17 20 326 399 884 239   4   0  339   0   0   0   0   1   6   1   0   0   0   0 100
Mauro_Icardi  34 arg  1  3  4 17 28 750 864  12  15   5   1  367   0   0   0   0   0   5   2   0   2   0   0  85
Ahmed_Kutucu  26 tur  1  1  5 15 20 112 617 148 417   2   0  186   0   0   0   0   0   0   0   0   0   0   0 100
