Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Noah_Averesh  18 ger 16  1  2  2 19 484 393 393 717   3   0  290   0  17  10   0   0   0   0   0   0   0   0 100
Merzouk       20 fra 12  1  1  1 20 849 173 238 163   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Junior  28 bra  1 17  5  6 20 335 654  22 565   3   0  239   0   0   0   3   0   1   0   0   0   0   0  90
Vanderson     26 bra  1 17  9  8 27 664 250 713  38   3   1  245   0   0   0   6   1   0   0   0   0   0   0  94
Felipe_Jack   22 bra  1 17  8  3 36 268 110 709 437   2   0  194   0   0   0   0   1   1   0   1   0   0   0 100
D_Caleta-Car  30 hol  1 17  7  1 36 803  91 389 782   2   0  194   0   0   0   2   4   0   0   0   0   0   0 100
Dean_Huijsen  23 hol  1 16  7  2 38 834  23  20 993   2   0  141   0   0   0   6   0   0   0   0   0   0   0  93
M_Olivera     30 uru  1 15  6  5 18 273 579 559 383   2   1  149   0   0   0   3   1   0   0   0   0   0   0  93
Matheus_Reis  33 bra  1 14  6  7 24 376 486 487 331   1   0   59   0   0   0   0   0   0   0   0   0   0   0 100
B_Zaragoza    25 spa  1 14  6  1 33 739 772 143 979   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mason_Mount   29 eng  1  3 19  8 27 584 244 872 609   3   0  290   0   0   0   1  10   1   0   0   2   0   0  79
A_Ibragimov   20 rus  1  2 19  8 21 563 964 621 644   3   0  263   0   0   0   0   6   2   0   0   0   0   0  84
Pape_M_Sarr   25 sen  1  4 17  6 34 514 701 155 607   3   1  182   0   0   0   0   5   2   0   0   0   0   0  93
A_Rabiot      33 fra  2  2 16  6 32 158 862 143 259   3   2  172   0   0   0   1   4   2   0   0   2   0   0  93
T_Reijnders   29 hol  1  4 16  5 22 376 462 989 931   1   0   96   0   0   0   0   2   1   0   0   0   0   0  93
Toni_Kroos    38 ger  1  4 13  4 37 462 866 432 774   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kayden_Wolf   22 hol  1  3  6 18 21 564 237 378 865   3   0  290   0   0   0   2   5  13   0   0   0   0   0  79
S_Guirassy    30 gui  1  3  5 18 20 326 404 893 324   3   0  253   0   0   0   0   0   6   1   0   2   0   0  91
Alvaro_Morata 35 spa  1  3  4 14 26 615 768 648 284   2   1  133   0   0   0   0   0   7   0   0   0   0   0 100
