Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Tzolakis    24 gre 16  2  2  1 24 860 351 343 411   3   0  287   0  13   8   0   0   0   0   0   0   0   0 100
G_Kouraklis   20 gre 14  1  1  1 22 293 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Pirola      25 ita  1 16  6  1 38 410 280 198 307   3   0  287   0   0   0   6   1   1   0   0   0   0   0  80
F_Ortega      27 arg  1 16  5  4 16 321 261  84 594   3   0  236   0   0   0   6   0   1   0   0   0   0   0  91
Costinha      26 por  1 16  5  4 22 307 190 162 740   3   1  242   0   0   0   2   2   2   0   0   0   0   0  96
B_Onyemaechi  27 nig  1 15  5  1 36 110 461 201 548   3   1  242   0   0   0   3   0   0   0   0   0   0   0  93
P_Retsos      28 gre  1 15  5  1 36 234 243 409 731   2   0  192   0   0   0   1   0   1   0   0   0   0   0  93
G_Biancone    26 fra  1 14  4  1 38 363 819 890 481   1   0   95   0   0   0   2   0   0   0   0   0   0   0 100
Ruben_Vezo    32 por  1 14  4  1 38 200 906 993 340   2   0  141   0   0   0   1   4   0   0   1   0   0   0  93
S_Hezze       25 qrg  1  5 17  2 32 385 390 708 321   3   1  256   0   0   0   0   6   1   0   0   0   0   0  90
Sven_Mijnans  28 hol  1  3 17  7 28 482 152 363 786   2   0  191   0   0   0   0   5   3   0   1   0   0   0 100
C_Mouzakitis  20 gre  1  5 17  5 34 349 601  60 640   2   0  191   0   0   0   1   2   0   0   0   4   0   0 100
Chiquinho     31 por  1  4 15  4 26 454 994 346 733   3   0  121   0   0   0   1   2   2   0   0   0   1   0 100
Yusuf_Yazici  22 nor  1  1 15  4 24 263 673 334 893   3   2  197   0   0   0   0   3   0   0   0   2   0   0  93
D_Nascimento  24 por  1  5 15  4 30 318 113 371 422   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
A_Liat'kouros 20 gre  1  5 14  2 36 110 181 581 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Clayton       28 bra  1  3  5 16 24 331 810 585 195   3   1  203   0   0   0   0   0   8   1   0   0   0   0 100
D_Podence     31 por  1  1  5 15 20 326 355 891 248   2   1  135   0   0   0   0   1   4   1   0   0   0   0  93
G_Martins     31 por  1  1  4 15 18 120 270 672   6   1   0   45   0   0   0   0   1   2   1   0   0   0   0 100
A_El_Kaabi    33 mor  1  3  4 14 28 750 887  13 921   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Taremi      34 ira  1  3  4 14 32 230 318 650 673   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
