Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Henderson   30 eng 20  1  1  1 20 583 798 318 318   3   0  286   0  13   7   0   0   0   0   0   0   0   0 100
S_Rico        34 spa 11  2  2  1 40 768 715 628 909   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Lacroix     27 fra  1 17  6  1 34 315 319 256 986   3   0  286   0   0   0   1   0   0   0   0   2   0   0  80
Romeo_Ritter  19 ger  1 16  5  1 34 230 287 629 895   3   0  244   0   0   0   2   0   1   0   0   0   0   0  93
T_Adarabioyo  30 eng  1 15  7  1 40 632 574 288 886   2   0  192   0   0   0   4   1   0   0   0   0   0   0  93
Marquinhos    34 bra  1 15  7  3 37 875  62 236 908   3   1  190   0   0   0   4   4   1   0   0   0   0   0 100
J_Araujo      26 per  1 14  6  6 23 947 725 556 617   3   2  138   0   0   0   1   1   3   1   0   0   0   0 100
L_Hernandez   32 fra  1 13  6  3 33 954 194 616 274   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Mukiele     30 fra  1 13  6  6 26 903 335 474 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Camavinga   25 fra  1  5 22  8 21 933 321 295 382   3   0  286   0   0   0   2  14   3   0   0   0   0   0  80
Sandro_Tonali 28 ita  1  7 20  6 30 674 393 152 535   3   0  244   1   0   0   3   5   2   0   1   0   0   0  94
Vitinha       28 por  1  6 19  9 33 825 984 756  84   3   1  232   0   0   0   0   6   5   0   0   0   0   0  93
Rayan_Cherki  25 alg  1  4 17  9 21 950 153  10 393   2   0  139   0   0   0   0   4   2   1   0   0   0   0 100
C_Casadei     23 ita  1  6 16  6 26 575 541 208 374   2   1  145   0   0   0   0   1   1   0   0   0   0   0 100
R_Sanches     30 por  1  5 14  3 25 837 662 608 601   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Coman       31 fra  2  3  7 17 28 704 931 170 152   3   0  237   0   0   0   0   1   5   0   0   0   0   0  91
Maher_Carrizo 20 arg  1  4  5 17 28 416 371 696  87   3   1  241   0   0   0   0   2   6   0   0   0   0   0  93
D_Washington  22 bra  1  4  6 16 26 500 535 832 551   2   0  190   0   0   0   0   0  11   2   0   0   0   0  86
Antony        28 bra  1  3  6 14 26 808 898  70 433   1   0   96   0   0   0   2   0   0   0   0   0   0   0  93
