Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Benitez     34 arg 17  2  2  1 24 307 351 343 411   4   0  379   0  19  12   0   0   0   0   0   0   0   0 100
Joel_Drommel  31 hol 15  1  1  1 22 692 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Niek_Schiks   23 hol 14  1  1  1 20 882 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Boscagli    30 fra  1 17  6  1 38 410 985  27 250   3   0  219   0   0   0   6   2   0   0   0  10   0   0  86
Ryan_Flamingo 24 hol  1 17  7  1 36 321 478 301 554   4   0  379   0   0   0   4   3   0   0   0   2   0   0  75
Sergino_Dest  27 usa  1 17  6  4 22 307  73  76 785   4   0  337   0   0   0   6   1   1   0   0   4   0   0  90
A_Obispo      28 hol  1 16  4  1 36 234 343 495 707   3   0  284   0   0   0   2   1   0   0   0   0   0   0  80
Matteo_Dams   23 bel  1 15  4  5 16 363 859 712 717   3   1  230   0   0   0   1   2   3   1   0   0   0   0  93
Malik_Tilman  25 usa  1  2 17  6 22 349 264 864 720   3   0  283   0   0   0   0   5   3   0   0   2   0   0  93
J_Schouten    30 hol  1  6 17  3 36 385 165 398 297   3   0  283   0   0   0   0   5   0   0   1   0   0   0  93
I_Saibari     26 mor  1  3 17  5 20 263 647 361 834   3   0  242   1   0   0   0   7   0   0   1   0   0   0 100
Guus_Til      29 hol  1  1 16  4 26 454 968 557 871   3   1  232   0   0   0   1   1   0   0   0   2   0   0 100
R_Ledezma     27 usa  1  1 16  5 21 318 850 155 536   4   0  227   0   0   0   0   3   0   0   0   0   0   0 100
I_Babadi      22 hol  1  2 16  5 20 541 254  98 394   4   3  244   0   0   0   1   6   0   0   0   0   0   0 100
Noa_Lang      28 hol  1  1  5 18 24 331 810 606 223   4   1  334   0   0   0   0   0   9   2   0   0   0   0  86
John_Kennedy  23 bra  1  4  6 17 26 750  42 338 474   4   0  251   0   0   0   1   0   7   0   0   0   0   0 100
H_Lozano      32 mex  1  1  5 16 20 326 334 770  55   3   2  177   0   0   0   1   2   6   0   0   0   0   0 100
Luuk_de_Jong  37 hol  1  3  4 15 30 112 467 797 155   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
