Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Kochalski   25 pol 15  2  2  1 24 379 351 343 411   5   0  474   0  24   9   0   0   0   0   0   0   0   0 100
F_Buntic      28 cro 14  1  1  1 22 492 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Ramazanov   23 aze 13  1  1  1 20 282 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Medina  32 col  1 15  5  1 36 110  18  46 450   3   0  283   0   0   0   3   3   0   0   0   0   0   0  93
T_Bayramov    24 aze  1 15  4  4 18 410 569 921 204   5   0  409   0   0   0   4   2   1   0   0   0   1   0  90
E_Cafar'liyev 25 aze  1 14  4  4 20 321 762 859 455   5   1  372   0   0   0   3   0   0   0   0   2   0   0  91
Matheus_Silva 28 bra  1 14  4  4 22 307 564 819 611   5   1  379   0   0   0   3   0   0   0   0   0   0   0  94
B_Mustafazada 28 aze  1 14  4  1 36 234 877 321 611   5   1  429   0   0   0   4   5   0   0   0   0   0   0  81
Dani_Bolt     26 bra  1 14  4  3 20 363 171 590 397   3   0  283   0   0   0   2   2   1   0   0   0   0   0  93
Kady_Borges   29 bra  1  2 15  5 22 349 197 245 402   3   0  284   0   0   0   1   6   1   0   0   0   0   0 100
Pedro_Bicalho 24 bra  1  6 15  3 36 385 113 109 222   4   0  330   0   0   0   2  11   0   0   2   0   0   0  93
M_Jankovic    30 mon  1  4 14  4 26 454 868 128 689   3   1  241   0   0   0   1   4   2   0   0   0   0   0  93
Joni_Montiel  27 spa  1  2 14  5 20 263 547 655 563   3   0  235   0   0   0   0   5   3   0   0   0   0   0  93
Chriso        26 ivo  1  4 14  4 30 318 761 794 322   3   1  242   0   0   0   1   8   1   0   0   0   0   0  93
H_Cabray'zada 18 aze  1  2 13  5 20 541 126 415  94   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Andrade     26 por  1  1  5 15 24 331 710 385 895   3   0  284   0   0   0   0   2   9   1   0   0   0   0 100
O_Kashchuk    25 ukr  1  1  5 14 20 326 305 728 130   3   0  234   0   0   0   0   1  12   1   0   0   0   0 100
E_Addai       24 gha  1  1  4 14 21 750 897  67 961   3   1  241   0   0   0   0   3   4   0   0   0   0   0 100
Camilo_Duran  24 col  1  3  4 14 30 112 517 869 846   3   0  183   0   0   0   0   1   3   0   0   0   0   0 100
M_Qurbanly    23 aze  1  3  4 14 28 120 220 572 775   4   2  164   0   0   0   0   1   3   0   0   0   0   0 100
R_Sheydayev   29 aze  1  3  4 14 32 230 348 658 693   3   3  147   0   0   0   0   0   4   0   0   2   0   0 100
