Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Franco_Israel 28 uru 20  2  3  2 32 945 278   7 216   3   0  279   0  11   4   0   0   0   0   0   0   0   0 100
Jose_Gimenez  25 uru  1 20  8  3 35 920 178  63  20   3   0  279   0   0   0   3   1   0   0   0   2   0   0  83
Jan_Simic     23 SER  1 17  9  3 38 738 731 430 438   3   0  230   0   0   0   3   5   2   0   1   4   0   0  96
T_Lamptey     27 gha  1 17  7  8 22 601 795 333 864   3   0  238   0   0   0   3   0   5   0   0   0   0   0  93
R_Fernandes   25 por  2 17  6  3 34 229   2 977 909   3   1  186   0   0   0   3   4   0   0   1   2   0   0 100
V_Nelsson     29 den  2 16  9  3 36 348 485  27 117   3   1  228   0   0   0   3   1   0   0   0   2   0   0  93
R_McConville  22 eng  1 16  7  3 38 485 914 125 237   2   1  140   0   0   0   2   1   0   0   0   2   0   0 100
Eric_Ramires  27 bra  2  6 19  5 30 347 674 515 765   3   1  223   0   0   0   1   6   1   0   1   2   0   0  93
Adriano       29 bra  2  6 19  7 26 128 791 534 494   3   0  211   0   0   0   0  11   0   0   0   0   0   0 100
Archie_Gray   20 eng  2  5 19  7 24 126 969 254 967   2   0  150   0   0   0   0   3   1   0   0   0   0   0  93
Reinier_Jesus 23 bra  1  5 17  8 26 669 693 927 127   2   2   68   0   0   0   0   1   0   0   0   2   0   0 100
F_Valverde    27 arg  2  3 17  8 27 110 958 997 841   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Shopov      24 bul  2  6 17  7 28  31 669 893 517   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Luna        24 ger  1  4 17  7 19 755 103 983 977   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Gonzalez    22 spa  1  9 17  4 34 880 446  28 890   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Hojlund     25 den  1  3  6 20 30 659 363 297 907   3   0  279   1   0   0   0   1  17   2   0   2   0   0  83
Pedro_Neto    27 por  2  2  8 17 21 229 470 152 964   3   0  279   0   0   0   0   2   9   1   0   0   0   0  83
Rafael_Borre  31 col  1  3  6 17 30 128 340 918 143   3   0  279   1   0   0   0   2  10   1   0   0   0   0  83
