Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Luiz_Junior   25 bra 16  2  2  1 24 388 351 343 411   4   0  379   0  26   7   0   0   0   0   0   0   0   0 100
Diego_Conde   27 spa 14  1  1  1 22 492 452 331 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Logan_Costa   24 fra  1 16  5  1 38 410 550 898 189   3   0  285   0   0   0   3   1   0   0   0   0   0   0 100
Juan_Foyth    28 arg  1 16  5  1 36 321 812 922 455   4   0  338   0   0   0   7   3   0   0   0   2   0   0  88
Rafa_Marin    23 spa  1 15  5  1 38 307 546 819 611   3   0  287   0   0   0   2   0   0   0   0   0   0   0  93
Sergi_Cardona 26 spa  1 15  4  4 16 234 998 233 611   4   1  308   0   0   0   9   1   0   0   0   0   0   0  96
S_Mourino     24 uru  1 15  4  4 18 363  20 590 381   2   0  191   0   0   0   5   2   0   0   0   0   0   0  93
Pau_Navarro   20 spa  1 14  5  4 20 110 978   1 448   3   1  163   0   0   0   0   1   0   0   0   2   0   0 100
Alex_Freeman  21 usa  1 13  4  4 18 200 947 880 340   1   1   41   0   0   0   1   0   0   0   0   0   0   0 100
A_Moleiro     22 spa  1  5 17  6 34 349 215 261 455   4   0  379   0   0   0   2   8   3   1   1   4   0   0  75
T_Partey      32 gha  1  5 16  2 32 385  65  21 222   3   0  282   0   0   0   0   4   0   0   0   0   0   0  88
S_Comesana    29 spa  1  4 15  4 26 454 842 151 654   3   0  248   0   0   0   0   5   0   0   1   0   0   0 100
Dani_Parejo   36 spa  1  3 14  4 24 263 601 607 506   2   1  129   0   0   0   2   1   0   0   0   0   0   0 100
Carlos_Macia  17 spa  1  4 13  4 30 318 735 698 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Buchanan    27 can  1  2  5 15 24 331 710 364 865   4   1  334   0   0   0   0   1   6   0   0   0   0   0  88
T_Oluwaseyi   25 can  1  3  4 15 28 750 897  23   9   3   0  236   1   0   0   0   1   6   2   0   0   0   0  93
N_Pepe        30 fra  1  1  5 14 20 326 305 754  94   3   0  235   1   0   0   0   1   6   2   1   0   0   0  93
Ayose_Perez   32 spa  1  3  4 14 28 112 517 891 855   3   1  193   0   0   0   0   2   3   1   0   0   0   0 100
A_Gonzalez    26 spa  1  1  4 14 21 120 220 550 785   3   2  141   0   0   0   0   0   3   0   0   0   0   0 100
Pau_Cabanes   21 spa  1  1  4 13 18 230 350 660 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
