Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Carnesecchi 26 ita 13  1  1  1 22 354 778 957 416   2   0  191   0   8   3   0   0   0   0   0   0   0   0 100
M_Sportiello  35 ita 10  1  1  1 20  90 529 529 529   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isak_Hien     28 swe  1 13  5  2 38 920 463 826 236   2   0  191   0   0   0   2   1   1   0   0   0   0   0  85
H_Ahanor      19 ita  1 13  5  2 38 713  50 966 264   2   0  142   0   0   0   5   0   0   0   0   0   0   0  97
S_Kolasinac   33 bos  1 12  5  1 34  99 383  55 556   2   0  191   0   0   0   4   3   1   0   0   0   0   0  85
O_Kossounou   26 ivo  1 12  5  1 36 747 670 633 812   2   1  146   0   0   0   2   0   0   0   0   0   0   0 100
B_Djimsiti    34 alb  1 11  4  1 36 835 749 397 533   1   0   94   0   0   0   2   0   0   0   0   0   0   0  93
Leon_Goretzka 31 ger  1  6 14  6 30 167 912 494 927   1   0   97   0   0   0   0   1   0   0   0   0   0   0 100
C_D_Ketelaere 26 bel  1  2 13  5 16 588 837 873 858   1   0   97   0   0   0   0   1   0   0   0   0   0   0 100
L_Samardzic   25 ser  1  3 13  4 21 165 167 143 819   2   0  139   0   0   0   1   2   0   0   0   2   0   0  93
F_Anguissa    31 cam  2  4 13  4 34  13 369 296 883   2   1  146   0   0   0   0   3   2   0   1   0   0   0  93
I_Sangare     29 ivo  1  6 13  2 38 297 121 491 881   3   0  283   0   0   0   0   5   0   0   1   2   0   0  93
N_Zalewski    25 pol  1  2 12  5 18 982 333 572 953   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yunus_Musah   24 usa  2  4 12  4 28 296 975 581 364   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eljif_Elmas   27 mac  1  2 12  3 18 195 607 815 973   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_J_Kroupi    20 fra  1  1  6 13 18 555 798 262 668   1   0   97   1   0   0   0   1   3   0   1   0   0   0 100
Richarlison   30 bra  1  3  5 13 26 696 828 636 665   2   1  110   0   0   0   0   1   0   0   0   0   0   0 100
G_Scamacca    28 ita  1  3  6 12 28 452 276 454 504   2   0  139   0   0   0   0   0   1   0   0   0   0   0  93
N_Krstovic    27 mon  1  4  6 12 30 967 161 257 581   2   1  146   0   0   0   0   3   6   2   0   2   0   0  93
K_Sulemana    25 gha  1  1  5 12 14 275 399 111 531   1   0   45   0   0   0   0   0   1   0   0   0   0   0 100
G_Raspadori   27 ita  1  3  5 12 28 676 811 702 964   1   1   49   1   0   0   0   2   2   1   2   0   0   0 100
