Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alvaro_Valles 28 spa 12  1  1  1 22 133 743 922 381  13   0 1237   0 102  32   0   0   0   0   0   0   0   0 100
Pau_Lopez     31 spa 10  1  1  1 20  70 494 494 494   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Youri_Baas    23 hol  1 13  5  1 36 430  30 720 311  13   0 1235   0   0   0  22   7   2   0   1   4   0   0 100
Natan         25 bra  1 12  5  1 36 430 828 736 498  11   0 1046   0   0   0  11   6   6   2   1   2   0   0 100
Marc_Guehi    25 eng  1 12  5  1 32 520 484 792 404  10   0  949   0   0   0  14   6   5   0   2   4   0   0 100
Sven_Botman   26 hol  1 12  4  1 34 520 334 476 372   4   0  382   0   0   0  10   1   1   0   0   0   0   0 100
H_Bellerin    31 spa  1 11  5  5 20 800  39 154  41   3   0  289   0   0   0   3   4   4   0   2   0   0   0 100
V_Gomez       22 arg  1 11  5  1 38 678 408 247 624   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Junior_Firpo  29 dom  1 11  4  4 18 885 498 622 972   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angel_Ortiz   21 spa  1 11  4  5 18 712  70 953  65   4   0  382   0   0   0   4   3   3   0   0   2   0   0 100
Harry_Wilson  29 wal  1  2 14  8 21 240 159 205 132   7   0  667   1   0   0   0  19  19   2   4   2   0   0 100
Isco          34 SPA  1  2 12  8 20 240 244 415   3  11   0 1045   3   0   0   0  27  23   5   8   2   0   0 100
S_McTominay   29 sco  1  5 12  5 30 488 886 891 775  12   0 1091   0   0   0   6  29  16   3   2   4   0   0 100
A_Fidalgo     29 MEX  1  4 12  5 26 947 190 585 967  13   1 1166   0   0   0   3  27  19   1   3   2   0   0 100
S_Amrabat     29 mor  1  4 12  2 36 553 561 692 247   9   0  649   1   0   0   1  19   3   1   4   2   0   0 100
G_Lo_Celso    30 arg  1  2 12  5 20 602 373 174  15   4   0  382   0   0   0   3   7   2   0   2   0   0   0 100
N_Deossa      26 col  1  4 12  4 30 261 528  29 288  12   6  665   0   0   0   0  15   9   0   1   2   0   0 100
C_Ronaldo     41 por  1  3  7 13 26 130 357 677 779   7   0  503   1   0   0   3   4  20   5   0   2   0   0 100
J_Zirkzee     24 hol  1  2  4 12 20 108 163 877 486  16   2 1317   3   0   0   1   5  52  15   0   2   0   0 100
C_Hernandez   27 col  1  3  4 12 32 641 717 269 545  13   0  941   2   0   0   2   3  39  13   0   4   0   0 100
B_Zaragoza    24 spa  1  1  4 12 16 130 355 861 242  11   7  452   1   0   0   0   3  23   4   0   0   0   0 100
Pablo_Garcia  19 spa  1  1  4 11 14 240 167 590 799  13  13  296   0   0   0   0   0  21   3   0   0   0   0 100
R_Riquelme    26 spa  1  2  4 11 20 113 168 892 769   8   7  229   1   0   0   1   3   9   1   2   2   0   0 100
