Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Oliver_Dovin  23 swe 11  1  1  1 22 216 662 947 901   3   0  284   0   6   9   0   0   0   0   0   0   0   0 100
C_Rushworth   25 eng 11  1  1  1 22 864 144 341 200   1   0   96   0   1   1   0   0   0   0   0   0   0   0 100
Bobby_Thomas  25 eng  1 12  5  1 36 176 597 130 953   4   0  380   0   0   0   1   1   1   0   0   0   0   0  96
N_Mazraoui    29 mor  1 12  5  4 20 260 659 212 914   4   0  380   0   0   0   4   1   1   0   0   0   0   0  96
Caio_Henrique 29 bra  1 12  4  5 18 915 425 947 380   2   0  190   0   0   0   3   1   2   0   0   0   0   0  96
Liam_Kitching 26 eng  1 11  5  1 36 479 599 765 917   4   0  380   0   0   0   4   3   1   1   0   0   0   0  96
L_Woolfenden  27 eng  1 11  5  1 34 865 136 789 533   4   0  380   0   0   0   3   0   0   0   0   2   0   0  96
M_van_Ewijk   25 hol  1 11  5  4 18 352 837 901 359   2   0  190   0   0   0   1   0   3   0   0   0   0   0 100
Jack_Rudoni   25 eng  1  3 12  6 22 646 318 433 316   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Coulibaly   23 fra  1  5 12  5 28 636 415 683 462   3   0  284   0   0   0   0   7   1   0   1   0   0   0  96
Romain_Esse   21 eng  1  2 12  6 18 724 821   6 461   1   0   94   0   0   0   0   3   3   1   0   0   0   0 100
Mario_Pasalic 32 cro  1  4 12  5 26 160 901 429 112   2   0  190   0   0   0   0   3   0   0   0   0   0   0  96
C_Chukwuemeka 23 aut  1  4 12  4 34 291 950 915 555   2   0  190   0   0   0   0   3   0   0   1   2   0   0  96
T_Sakamoto    29 jap  1  2 11  6 18 649 737 182 270   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Eccles   26 eng  1  5 11  3 30 203 837 522 815   2   0  190   0   0   0   0   7   0   0   0   2   0   0 100
Victor_Torp   27 den  1  4 11  5 26 808 592 542 618   3   3   67   0   0   0   0   2   1   0   0   0   0   0 100
Koke          35 spa  1  5 11  4 34 291 547 229 309   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Haji_Wright   28 usa  1  2  5 13 28 370 681 612 169   4   0  313   1   0   0   0   1  12   4   0   0   0   0 100
Ellis_Simms   25 eng  1  3  4 13 30 597 506 702  29   2   0  190   0   0   0   1   1   5   1   0   2   0   0 100
Marcus_Thuram 29 fra  2  4  6 13 32  13 173 350 432   2   0  190   0   0   0   0   1   5   0   0   0   0   0  96
R_Najera      24 mex  1  1  6 12 18 617 551 779 374   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Min-Hyeok   20 kor  1  1  5 11 16 257 455 641 799   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Mason-Clark 26 jam  1  1  5 11 18 896 493 504 760   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
