Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kaua_Santos   23 bra 11  1  1  1 22  75 758 937 396  18   0 1594   0  77  30   0   0   0   0   0   4   0   0 100
M_Zetterer    30 ger 10  1  1  1 20  85 509 509 509   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Siljevic    19 bos 10  1  1  1 20 137 894 542 337   5   5  114   0   7   4   0   0   0   0   0   0   0   0 100
A_Rudiger     33 ger  1 13  7  1 38 155 395 591 183   9   0  805   0   0   0   9   6   2   0   0  12   0   0  70
N_Brown       22 ger  1 13  5  4 16 445  37 743 393  10   0  947   1   0   0   6   6   6   0   2   2   0   0  98
Arthur_Theate 25 bel  1 13  5  1 38 693  76 535 668  10   0  894   1   0   0  18  10   1   0   2   4   0   0  86
N_Collins     22 ger  1 13  5  2 38 900  32 841  94  11   0 1043   1   0   0  16   7   4   0   1   2   0   0 100
Nathan_Ake    31 hol  1 12  5  2 28 535 250 835 497  13   0 1235   0   0   0  15   9   3   0   0   4   0   0  57
Robin_Koch    29 ger  1 11  5  1 38 727 388 895 435   2   0  182   0   0   0   0   0   1   0   0  10   0   0 100
A_Amenda      22 swi  1 11  4  1 26 815 443 116 446   1   1   55   0   0   0   0   0   0   0   0   0   0   0 100
Keita_Kosugi  20 jap  1 11  4  4 20 145 772 790 733   8   0  759   1   0   0  10   7   6   1   2   2   0   0  86
W_Estevao     18 bra  1  1 12 10 18 535 395 724 295  15   0 1422   1   0   0   1  30  18   5   2   2   0   0  74
M_Gibbs-White 26 eng  1  3 12  8 24 535 376 363 177  12   0 1141   1   0   0   1  23  22   1   7   2   0   0  93
Can_Uzun      20 tur  1  2 12  5 25 503 734 580 442   4   0  379   0   0   0   0   9   2   0   1   4   0   0  86
Hugo_Larsson  21 swe  1  4 12  5 26 568 685 578 251   7   0  664   0   0   0   4  13   3   0   0   4   0   0 100
Ellyes_Skhiri 31 swi  1  5 12  3 38 276 604  71 207   8   0  759   0   0   0   2  16   1   1   3   6   0   0 100
Fares_Chaibi  23 alg  1  2 11  5 20 962 113 551 387   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oscar_Hojlund 21 den  1  4 11  5 26 621 979 665  72   8   0  759   0   0   0   1  21   5   0   1   2   0   0  86
Mario_Goetze  33 ger  1  2 11  5 20 255 262 170 130  18  16  574   0   0   0   0   8   3   1   0   0   0   0 100
A_Kalimuendo  24 fra  1  3  4 13 36 656 699 251 390  16   2 1356   3   0   0   2   3  48   7   0  18   0   0  79
J_Burkhardt   25 ger  1  3  6 12 20 432 146  89 515  18  16  629   1   0   0   0   3  28   2   0   4   0   0  86
Ansgar_Knauff 24 ger  1  2  4 12 20 128 183 831 107  12   0  864   2   0   0   1   2  26   7   0   2   0   0 100
Ritsu_Doan    27 jap  1  1  4 11 14 255 194 786 869  15   2  932   0   0   0   1   9  24   5   0   0   0   0 100
