Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_De_Gea  35 spa 11  1  1  1 22 294 723 902 361   4   0  377   0   7   3   0   0   0   0   0   2   0   0 100
O_Christensen 27 den 10  1  1  1 20  50 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Comuzzo     21 ita  1 12  5  1 36 834 877 549 325   3   0  284   0   0   0   1   2   1   0   0   0   0   0 100
Dodo          27 bra  1 12  5  4 16 410 687 617 281   4   0  329   0   0   0   6   4   1   0   0   0   0   0  85
N_Fortini     20 ita  1 12  4  4 18 658 531 288 636   4   1  332   0   0   0   7   2   1   0   0   0   0   0  90
M_Pongracic   28 cro  1 11  5  1 38 865 513 599 949   2   0  188   0   0   0   2   0   0   0   0   2   0   0 100
Luca_Ranieri  27 ita  1 11  5  1 38 692 379 867 407   2   0  189   0   0   0   0   0   1   0   0   2   0   0  94
F_Parisi      25 ita  1 11  4  4 20  44 270 440 551   2   0  189   0   0   0   1   0   5   1   0   0   0   0  94
Robin_Gosens  31 ger  1 11  4  4 20 780 427  81 411   2   1  109   0   0   0   1   0   0   0   0   0   0   0 100
E_Kouadio     20 ita  1 11  4  1 36 110 550 572 550   1   0   93   0   0   0   0   1   0   0   0   0   0   0 100
D_Rugani      31 ita  1 10  5  1 36  90 660 650 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Fagioli     25 ita  1  5 12  5 25 468 705 462 385   3   0  284   0   0   0   0   4   0   0   0   0   0   0  94
M_Brescianini 26 ita  1  3 12  5 28 110 291  82  74   4   1  284   0   0   0   2   5   2   1   0   0   0   0  94
R_Mandragora  28 ita  1  5 11  2 36 533 543 408 141   3   0  233   0   0   0   1   5   0   0   0   0   0   0  94
Cher_Ndour    21 ita  1  4 11  5 20 927  78 576 366   4   2  287   0   0   0   0   4   1   0   0   0   0   0 100
G_Fabbian     23 ita  1  2 11  4 18 586 921 383 947   2   0  188   0   0   0   0   3   0   0   2   0   0   0 100
J_Fazzini     23 ita  1  3 11  4 30 241 477 823 172   3   0  234   1   0   0   0   6   5   0   2   0   0   0  94
Moise_Kean    26 ita  1  3  5 12 28 397 100 982 250   3   0  154   0   0   0   0   0   5   1   0   0   1   0  99
R_Piccoli     25 fra  1  3  5 12 26 912 928 760 683   4   2  252   1   0   0   0   0  14   3   0   0   0   0 100
A_Gudmundsson 28 ice  1  3  4 11 36 621 649 189 783   2   1   93   0   0   0   0   0   0   0   0   0   0   0 100
M_Solomon     26 isr  1  1  4 11 14 220 130 553 467   1   1   48   0   0   0   0   0   0   0   0   0   0   0 100
Jack_Harrison 29 eng  1  1  4 11 20  93 123 755 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Breschi     19 ita  1  3  4 10 32 110 335 775 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
