Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Berke_Ozer    25 tur 11  1  1  1 22 672 738 917 376  13   0 1242   0  62  33   0   0   0   0   0   0   0   0 100
Arnaud_Bodart 28 bel 10  1  1  1 20  65 489 489 489   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M-A_Caillard  32 fra 10  1  1  1 21 365 489 489 489   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nathan_Ngoy   22 bel  1 13  5  1 36 849  89 805 374  10   0  818   0   0   0  10  11   1   1   2   0   0   0  79
Tiago_Santos  23 por  1 11  5  4 18 673 639 397 854  11   0  952   0   0   0  12   7   9   2   0   6   0   0  84
R_Perraud     28 fra  1 11  4  5 18 880 645 754  83  11   2  864   0   0   0   8   5   5   1   1   0   0   0  84
C_Verdonk     29 hol  1 10  5  4 18 707 478 906 442   6   1  511   0   0   0   5   1   2   0   0   0   0   0 100
C_Mbemba      31 con  1 10  5  1 36  59 400 621 533   6   1  476   0   0   0   6   6   3   0   1   2   0   0 100
T_Meunier     34 bel  1 10  4  4 20 795 543 238 456   6   3  385   0   0   0   6   4   2   0   2   0   0   0 100
R_Fernandes   23 por  1 10  4  1 36 125 605 565 565   2   1  146   0   0   0   2   0   0   0   0   0   0   0 100
O_Toure       21 fra  1 10  4  1 36 105 715 665 245   1   1   53   0   0   0   2   0   0   0   0   0   0   0 100
A_Bouaddi     18 mor  1  5 12  5 28 483 764 775 743  11   0  998   1   0   0   2  23  16   3   2   4   0   0  94
H_Haroldsson  23 ice  1  2 12  4 16 548 642 724 417  11   1 1004   0   0   0   3  21  11   1   3   6   0   0  96
N_Mukau       21 con  1  5 11  2 34 942 182 975 603  12   0  945   0   0   0   3  26  11   0   1   2   0   0  84
N_Bentaleb    31 alg  1  5 11  3 38 601  29 772  49  12   4  966   0   0   0   3  27   4   0   2   2   0   0  84
B_Andre       35 fra  1  4 11  2 30 256 535 959 139   8   0  764   0   0   0   2  16   3   0   1   6   0   0  84
M-F_Pardo     21 bel  1  3  6 12 28 412 261 115 834  10   0  901   3   0   0   5   4  57   4   1   4   0   0  93
O_Sahraoui    24 mor  1  1  4 12 16 636 647 275  59  10   4  625   0   0   0   0   4  20   2   0   0   0   0 100
M_Broholm     21 nor  1  1  4 12 18 125 379 790  40   4   3  248   0   0   0   1   0   7   0   0   0   0   0  93
H_Igamane     23 mor  1  3  5 11 26 927 943 817 954   8   0  513   1   0   0   0   2  25   7   0   0   0   0 100
Felix_Correia 25 por  1  1  4 11 14 235 145 612 616   6   3  395   0   0   0   0   2  10   1   0   0   0   0 100
Ethan_Mbappe  19 fra  1  1  4 11 20 108 138 792 776   6   3  283   0   0   0   0   1   9   2   0   0   0   0 100
Gaetan_Perrin 29 fra  1  1  4 11 22 235 350 790 901   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Giroud      39 fra  1  3  4 10 32 113 682 679 684   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
