Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Phillip_Kohn  28 swi 11  1  1  1 22 492 733 912 371   9   0  883   0  32  20   0   0   0   0   0   0   0   0 100
Yaan_Lienard  23 fra 10  1  1  1 20  60 484 484 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Stawiecki   19 fra  9  1  1  1 21 360 484 484 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Vanderson     24 bra  1 12  5  5 16 844 953 649 540   8   0  679   1   0   0   2   4   5   3   0   2   0   0 100
Thilo_Kehrer  29 ger  1 12  5  1 34 420 907 626 265   8   0  735   0   0   0  17   3   0   0   1   4   0   0  89
K_Ouattara    21 FRA  1 12  5  4 16  54 189  61 598   8   0  697   1   0   0  10   4   7   1   1   2   0   0  89
C_Mawissa     21 fra  1 11  5  1 38 668 585 255 634   7   0  695   0   0   0  10   1   1   0   0   2   0   0  89
Caio_Henrique 28 bra  1 11  4  4 18 875 621 656 977   7   5  355   0   0   0   6   2   1   0   0   0   0   0 100
Jordan_Teze   26 hol  1 11  5  4 18 702 392 880 402   2   1  120   0   0   0   1   0   0   0   0   0   0   0 100
M_Salisu      27 gha  1 11  4  1 34 790 453  88 459   2   1  129   0   0   0   1   0   2   0   0   2   0   0 100
Wout_Faes     28 bel  1 11  4  1 36 120 560 560 560   1   1   27   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Dier     32 eng  1 10  5  1 36 100 970 660 240   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lamine_Camara 22 sen  1  5 12  5 28 478 762 703 584   9   0  761   0   0   0   2  18   8   2   2   2   0   0  89
Denis_Zakaria 29 swi  1  5 12  2 34 543 553 525 284   8   0  650   0   0   0   1  13   5   1   0   0   0   0 100
A_Golovin     29 rus  1  2 12  5 16 937 105 655 459   6   2  461   0   0   0   0   8   5   0   0   0   0   0  89
M_Coulibaly   22 fra  1  4 11  5 28 596 957 543  33   6   1  542   0   0   0   1  13   4   0   2   0   0   0  89
Aladji_Bamba  19 fra  1  4 11  2 30 251 553 822 140   7   2  489   0   0   0   2   7   2   0   0   2   0   0 100
Krepin_Diatta 27 sen  1  2 11  4 21 251 487 813 117   4   3  198   0   0   0   0   6   2   0   1   0   0   0 100
Stanis_Idumbo 20 bel  1  2 10  5 18 251 504 911 200   5   1  409   0   0   0   0   8   4   1   3   0   0   0 100
F_Balogun     24 USA  1  3  6 13 26 922 965 100 246   9   0  610   0   0   0   1   4  23   3   0   0   0   0 100
M_Akliouche   24 fra  1  1  6 12 20 407 110  74 587   6   0  601   1   0   0   0   4  26   6   0   0   0   0  89
Simon_Adingra 24 ivo  1  1  4 12 16 631 642 204 971   6   4  351   0   0   0   0   1  13   3   0   0   0   0 100
Mika_Biereth  23 den  1  3  4 11 24 230 140 585 564   3   1  215   0   0   0   0   1   9   0   0   0   0   0 100
Ansu_Fati     23 spa  1  1  4 11 20 103 133 765 660   2   2   62   0   0   0   0   0   3   0   0   0   0   0 100
T_Minamino    31 jap  1  1  4 11 18 120 345 785 896   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paris_Brunner 20 ger  1  3  4 10 28 230 345 785 905   2   2   44   0   0   0   0   0   1   0   0   0   0   0 100
