Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
V_M_Savic     30 ser 13  1  1  1 22 409 803 982 441   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Meret    30 ita 13  1  1  1 20 124 554 554 554   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Buongiorno  27 ita  1 14  6  1 36 490   8 194 551   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Gutiierrez  25 spa  1 13  6  5 18 945  42 231 602   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Hancko  29 slo  1 13  6  1 36 490 673 105 497   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sam_Beukema   28 hol  1 13  5  1 34 738 210 688 781   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Di_Lorenzo  33 ita  1 12  4  4 16 860  19 310 654   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Kilman      29 eng  1 12  6  2 38 945 382 170 271   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Axel_Disasi   29 fra  1 12  6  1 38 772 339 373 656   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Olivera     29 uru  1 12  5  4 18 772 543 616 873   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Kulusevski  27 swe  2  2 14  4 24 316 806 309 753   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Billy_Gilmour 25 sco  1  5 13  2 36 613  85 790 498   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Anguissa    31 cam  2  4 13  4 34   8 347 217 826   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Vergara     24 ita  1  2 13  4 20 321 866 188 971   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Fornals 31 spa  1  3 12  5 28 190 423 941 431   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eljif_Elmas   27 mac  1  2 12  3 18 190 602 810 968   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Casemiro      35 bra  2  5 12  3 38 391 670 359 335   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrey_Santos 23 bra  1  4 12  5 20 701 935 249 513   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Neres   30 bra  1  2  6 14 18 992 126 415  91   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Rashford    29 eng  1  3  7 14 24 262 488 203 429   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Hojlund     24 den  1  3  6 14 30 477 415 597  15   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Martinez    29 arg  1  3  6 13 36 497 375 544 703   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Giovane       23 bra  1  4  5 13 30 300 182 468  74   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Romelu_Lukaku 34 bel  1  3  5 12 34 300 917 534 859   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
