Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
John_Victor   31 bra 12  1  1  1 17 950 420 420 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mats_Sels     35 bel 11  1  1  1 20 506 233 190 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Murillo       24 bra  1 14  5  2 37 510  24 482 879   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Milenkovic  29 ser  1 13  5  1 36 530 114 970 537   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ola_Aina      30 nig  1 12  5  4 17 480 519 279 622   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jair_Cunha    22 bra  1 12  6  1 36 490 639   8 569   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daniel_Munoz  30 col  1 12  5  5 16 470 969 808 597   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Gasiorowski 22 spa  1 12  6  1 38 718 636  17 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Netz     24 ger  1 12  4  4 25 460 469 811 580   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nicolo_Savona 23 ita  1 12  5  4 28 190 775 775 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Zach_Abbott   21 eng  1 11  6  1 36 190 839   8 769   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_d_S_Moreira 20 ger  1 11  4  4 20 227 925 925 925   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Cuiabano      23 bra  1 11  4  4 18 221 925 926 926   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodri         31 spa  1  5 13  3 34 140 930 503 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Hutchinson  23 eng  1  2 13  5 21 390 898  21 452   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mason_Mount   28 eng  1  3 13  5 26 646 206 599 739   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
X_Schlager    28 aut  1  4 13  4 30 123 775 775 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Dominguez   28 arg  1  5 12  4 23 370  87 964 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ryan_Yates    29 eng  1  5 12  4 22 370  11 586 145   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_McAtee  24 eng  1  2 12  4 20 373 619 295 541   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dan_Ndoye     26 swi  1  2  5 14 21 310 728 886 351   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Hudson-Odoi 26 eng  1  2  5 13 20 205 884 317 702   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Igor_Jesus    26 bra  1  3  5 13 26 330 850 381 237   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Lucca       26 ita  1  3  4 13 31 266 811 445 252   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Liam_Delap    23 eng  1  3  6 12 30 330 750 281  30   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
