Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Tzolakis    23 gre 13  1  1  1 22 213 959 147 183   5   0  469   0  31  11   0   0   0   0   0   0   0   0 100
David_Carmo   27 por  1 13  5  1 38 405 432 773 382   5   0  469   0   0   0   5   3   2   1   0   0   0   0 100
G_Vagiannidis 24 gre  1 13  5  4 20 357 107 287 659   3   0  280   0   0   0   7   3   2   0   1   0   0   0 100
L_Pirola      24 ita  1 12  5  1 36 711 270 748 787   5   0  469   0   0   0   8   3   0   0   0   0   0   0 100
P_Retsos      28 gre  1 11  5  1 36 252 548 844 509   1   0   92   0   0   0   0   4   0   0   0   0   0   0 100
Pablo_Maffeo  29 spa  1 11  5  4 20 912 906 991 646   2   0  189   0   0   0   4   1   2   0   0   0   0   0 100
M_Saliakas    29 gre  1 11  5  4 20 470 647 545 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Ortega      27 arg  1 11  5  4 18 364 161 978 145   1   0   92   0   0   0   2   0   2   0   0   2   0   0 100
Z_Smajlovic   22 bih  1 10  4  1 34 523 828 258 663   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Hezze       24 arg  1  5 13  4 32 270 597 376 229   5   0  469   0   0   0   7   7   0   0   1   0   0   0 100
C_Mouzakitis  19 GRE  1  4 13  5 20 612 664 123 214   5   0  469   1   0   0   2  11  13   4   1   0   0   0 100
Chiquinho     31 por  1  3 12  5 24 780 680 467 706   4   0  319   0   0   0   0   7   7   1   4   0   0   0 100
L_Scipioni    21 ARG  1  6 12  3 30 871  13 904 803   3   0  284   0   0   0   2   4   4   1   0   0   0   0 100
Giannis_Saris 19 gre  1  6 11  2 34 120 565 785 261   1   0   93   0   0   0   0   0   1   0   0   0   0   0 100
C_Almyras     21 gre  1  4 11  4 26 234 814 885 850   2   0  188   0   0   0   1   2   1   0   1   0   0   0 100
R_Yaremchuk   30 ukr  1  3  4 13 32 317 449 990  33   5   0  469   1   0   0   1   3  12   4   0   0   0   0 100
Jota_Silva    27 por  1  1  6 12 20 345 588 417 684   1   0   92   0   0   0   0   1   7   1   1   2   0   0 100
Ricardo_Pepi  24 usa  1  3  6 12 28 467 236 159 827   2   1   95   0   0   0   0   1   3   0   0   0   0   0 100
Dennis_Man    28 rom  1  2  5 12 20 982  13 970 366   1   1   24   0   0   0   0   0   1   1   0   0   0   0 100
Clayton       27 bra  1  2  6 11 26 945 260   9 834   3   0  280   0   0   0   0   1  11   0   0   0   0   0 100
Andre_Luiz    24 bra  1  1  5 11 18 364 881 581 406   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
