Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Matej_Kovar   26 cze 11  1  1  1 22 830 753 932 391  17   0 1621   0  64  27   0   0   0   0   0   0   0   0 100
Niek_Schicks  22 hol 10  1  1  1 20  80 504 504 504   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergino_Dest  25 usa  1 13  5  5 16 864 276 991 470  15   1 1386   2   0   0  18  16   6   1   4   2   0   0  86
Mauro_Junior  27 bra  1 12  5  4 16 440 966 887 467  14   0 1335   0   0   0  17  13   7   0   0   0   0   0  93
Y_Gasiorowski 21 spa  1 11  5  1 38 688 714 546 722  14   1 1187   0   0   0  15  12   4   0   1   4   0   0 100
Ryan_Flamingo 23 hol  1 11  5  2 38 895 793 718  23  15   3 1148   0   0   0  16   5   3   0   0  16   0   0 100
T_Tomiyasu    27 jap  1 11  4  4 20  69 350 575 562   4   0  281   0   0   0   3   3   5   0   1   0   0   0 100
A-S_Eddine    24 mor  1 11  4  4 18 722 749 936 632  13   3 1056   0   0   0  15   1   9   1   0   2   0   0 100
K_Sildillia   24 fra  1 10  4  4 20  74 415 506 484   4   1  288   0   0   0   5   1   0   0   0   2   0   0 100
A_Obispo      27 cur  1 10  5  1 38 810 458 132 441   3   1  138   0   0   0   1   1   0   0   0   0   0   0 100
J_Schouten    29 hol  1  4 13  2 36 957 258 154 487  17   1 1283   1   0   0   6  39   4   1   3   4   0   0  84
I_Saibari     25 mor  1  2 12  5 25 498 732 858 506  14   3 1135   0   0   0   0  29   6   0   1   2   0   0  86
Joey_Veerman  27 hol  1  4 12  4 36 563 643 791 400  11   0 1050   1   0   0   3  28   8   2   1   0   0   0  86
Mason_Mount   27 eng  1  3 12  5 26 616  49 862 353  16   3 1159   1   0   0   3  29  14   4   6   2   0   0 100
Oscar_Gioukh  22 isr  1  2 11  5 16 493 758 551 529   3   0  238   1   0   0   1   8   6   1   0   0   0   0  93
Guus_Til      28 hol  1  2 11  5 22 616 948 530  30   6   2  434   0   0   0   0  11   3   0   2   2   0   0  93
Ricardo_Pepi  23 usa  1  3  6 12 28 427 172  42 707  12   0 1053   2   0   0   2   2  34   8   0   8   0   0 100
Dennis_Man    27 rom  1  1  5 12 20 942 972 909 136  14   2 1081   2   0   0   0   5  41   8   0   2   0   0  86
C_Driouech    24 mor  1  1  4 11 14 250 223 639 847  12   2  901   0   0   0   1   1  26   2   0   0   0   0 100
Ivan_Perisic  37 cro  1  1  7 11 16 140 416 875 276   7   4  489   0   0   0   0   1  21   0   0   0   0   0 100
Myron_Boadu   25 hol  1  3  4 10 30 123 153 785 757   3   1  141   0   0   0   0   0   4   2   0   0   0   0 100
