Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mila_Svilar   26 ser 12  1  1  1 22 264 723 902 361   1   0   94   0   7   2   0   0   0   0   0   0   0   0 100
P_Gollini     31 ita 10  1  1  1 20  50 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Zelezny     19 pol  9  1  1  1 20  50 474 474 474   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Evan_Ndicka   26 ivo  1 12  5  1 36 834 877 507 302   1   0   94   0   0   0   1   0   0   0   0   0   0   0  93
Wesley        22 bra  1 12  5  4 16 410 597 533 261   1   0   94   0   0   0   1   0   0   0   0   0   0   0  93
G_Mancini     30 ita  1 11  5  1 38 658 407 316 604   1   0   94   0   0   0   1   3   0   0   1   0   0   0  93
D_Ghilardi    23 ita  1 11  5  1 38 865 478 602 952   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
J_Ziolkowski  20 pol  1 11  5  1 38 692 363 870 392   1   1   49   0   0   0   0   0   0   0   0   0   0   0 100
Zeki_Celik    29 tur  1 11  4  4 20  44 251 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angelino      29 spa  1 11  4  4 20 780 408  81 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Rensch      23 hol  1 11  4  3 18 110 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mario_Hermoso 30 spa  1 10  5  1 36  90 660 650 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Manu_Kone     25 fra  1  5 12  5 25 468 705 420 385   1   0   94   0   0   0   0   1   0   0   0   0   0   0  93
N_El_Aynaoui  24 mor  1  5 12  4 36 533 543 361 176   1   0   94   0   0   0   1   2   2   0   0   0   0   0  93
N_Pisilli     21 ita  1  4 12  5 20 927  78 563 352   1   0   94   0   0   0   0   2   0   0   1   0   0   0  93
L_Pellegrini  29 ita  1  2 11  5 18 586 921 298 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Cristante   31 ita  1  4 11  2 38 586 921 298 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Donyell_Malen 27 hol  1  3  6 12 28 397 100  25 224   1   0   94   0   0   0   0   2   2   1   0   0   0   0  93
Matias_Soule  23 arg  1  1  5 12 20 912 928 760 511   1   0   94   0   0   0   0   0   1   1   0   0   0   0  93
Evan_Ferguson 21 ire  1  3  4 12 32 621 659 194 785   1   0   56   0   0   0   1   1   2   0   0   0   0   0 100
Robino_Vaz    19 fra  1  3  4 11 14 220 130 553 467   1   1   38   0   0   0   0   0   0   0   0   0   0   0 100
Artem_Dovbyk  28 ukr  1  3  4 11 30  93 123 755 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Zaragoza    24 spa  1  1  4 11 16 110 335 775 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
