Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alex_Remiro   31 spa 12  1  1  1 22 186 768 947 406  23   0 2207   0 103  39   0   0   0   0   0   0   0   0 100
Unai_Marrero  24 spa 10  1  1  1 20  95 519 519 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jon_Martin    20 spa  1 13  5  1 36 879 287 887 519  19   0 1829   1   0   0  19  12   7   0   2   2   0   0  81
Sergio_Gomez  25 spa  1 12  5  4 16 455  73 814 701  17   1 1491   1   0   0  21   8  15   3   1   6   0   0 100
Jon_Aramburu  23 ven  1 11  5  4 18 703 887 441 903  16   0 1499   0   0   0  21   6  10   2   1   0   0   0 100
Igor_Zubeldia 29 spa  1 11  5  2 38 910 828 889 151  17   1 1488   1   0   0  15   9   6   1   2  14   0   0  93
Aihen_Munoz   28 spa  1 10  6  4 18 737 722  15 521  12   1  941   0   0   0  16   5   5   0   0   4   0   0  93
D_Caleta-Car  29 cor  1 10  5  1 34  89 483 577 513  11   3  847   1   0   0  10   5   2   0   0  12   0   0  93
A_Elustondo   32 spa  1 10  4  1 36 825 553 214 456   8   0  609   0   0   0   5   4   0   0   0   0   0   0  93
A_Odriozola   30 spa  1 10  4  3 18 155 652 658 592   8   5  434   0   0   0   2   3   0   0   0   2   0   0 100
Luke_Shaw     30 eng  1 10  5  4 22 175 612 764 722   5   4  202   0   0   0   5   2   0   0   0   0   0   0 100
J_Gor'txategi 24 spa  1  5 12  2 30 513 922 874 461  15   0 1454   0   0   0   7  25   2   0   4   2   0   0  93
A_Zakharyan   22 rus  1  2 12  4 20 972 165 110 576  17   3 1356   1   0   0   1  30  10   0   3   2   0   0  93
Brais_Mendez  29 spa  1  2 11  4 16 578 619 698 236  13   1 1076   0   0   0   2  20   3   0   1   0   0   0 100
Luka_Sucic    23 cro  1  4 11  5 28 631  67 687  36  15   1 1126   1   0   0   4  22   3   0   1   4   0   0 100
Y_Herrera     28 ven  1  5 11  4 32 631  92 625 149  17   5 1183   0   0   0   5  19   7   1   0   2   0   0 100
Carlos_Soler  29 spa  1  5 11  4 30 631  29 617  14  14   5 1005   0   0   0   3  18   2   0   1  14   0   0 100
Takefusa_Kubo 24 jap  1  1  6 12 20 442 145 122 528  16   0 1441   0   0   0   0   2  30   2   2   0   0   0  93
M_Oyarzabal   29 spa  1  3  5 12 26 957 963 879 840  17   2 1246   0   0   0   0   4  33   1   0  10   0   0 100
A_Barrenetxea 24 spa  1  1  5 12 16 666 732 277 337  17   4 1163   3   0   0   2   3  37   6   0   2   0   0 100
Jarrod_Bowen  29 eng  1  1  5 12 18 957 967 925 899  15   6 1100   0   0   0   0   6  32   5   0   4   0   0 100
G_Guedes      29 por  1  1  4 12 20 138 185 861  95   8   5  564   2   0   0   0   2  18   7   0   0   0   0 100
Felix_Correia 25 por  1  1  4 11 14 265 175 642 646   7   4  428   0   0   0   0   2  10   1   0   0   0   0 100
O_Oskarsson   21 ice  1  3  4 11 34 265 192 637 584   8   2  468   0   0   0   0   1   5   0   0   0   0   0 100
