Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rui_Silva     32 por 13  1  1  1 22 679 183 517 922   2   0  190   0  14   5   0   0   0   0   0   0   0   0 100
Joao_Virginia 26 por 12  1  1  1 20 923 366 893 664   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Callai  22 bra 11  1  1  1 18 892 481 573 407   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Inacio      24 por  1 14  7  2 36 585 941 216 401   2   0  190   0   0   0   6   2   1   0   1   0   0   0  91
O_Diomande    22 civ  1 14  5  1 38  89 810 176 300   2   0  190   0   0   0   3   0   3   0   0   0   0   0  91
Zeno_Debast   22 bel  1 13  6  2 34 529 295 257 840   2   0  143   0   0   0   2   3   2   0   0  10   0   1 100
Nuno_Santos   31 por  1 12  6  5 20 771 944 195 866   2   0  190   0   0   0   0   2   1   0   0   0   0   0  91
Ivan_Fresneda 21 spa  1 12  5  4 18 803 110 949 754   1   0   97   0   0   0   1   1   0   0   0   0   0   0  91
E_Quaresma    24 por  1 12  5  1 34 491 249 558 445   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Goncalves   28 por  1  2 14  9 22 463 888 294 743   2   0  190   0   0   0   0   4   3   0   0   0   0   0  91
R_Zalazar     26 uru  1  2 13  7 22 190  87 800 863   2   0  190   0   0   0   0   3   3   1   0   0   0   0  91
Maxi_Araujo   26 uru  1  3 13  6 22 522 260 438 682   2   0  138   0   0   0   0   5   1   0   0   2   0   0 100
G_Koch'shvili 27 geo  1  6 13  4 32 180 854 552 384   1   0   45   0   0   0   0   0   1   1   0   0   0   0 100
D_Braganca    27 por  1  4 13  5 26 599 831 660 591   2   2  100   0   0   0   0   4   1   0   0   0   0   0 100
S_Andersen    22 den  1  5 12  3 28 478 752 353  98   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedro_Lima    23 bra  1  5 12  4 28 422 358 396 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Issa_Doumbia  22 ita  1  6 12  3 30 463 798 644 836   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Geny_Catamo   25 moz  1  1  6 13 18 844 133 707 598   2   0  190   0   0   0   0   1  10   0   0   0   0   0  91
F_Ioannidis   26 gre  1  3  5 13 30 958 690 417 788   2   0   90   0   0   0   1   1   4   1   0   0   0   0 100
Luis_Suarez   28 col  1  3  5 13 30 137 138 675 969   2   2  100   0   0   0   0   0   5   0   0   0   0   0 100
Rafael_Nel    21 por  1  2  4 11 20 131 676  81 690   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
