Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Luiz_Junior   25 bra 11  1  1  1 22 572 753 932 391  10   0  933   0  40  20   0   0   0   0   0   0   0   0 100
Diogo_Conde   27 spa 10  1  1  1 20  80 504 504 504   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Guerreiro   32 por  1 13  6  6 18 155 813 777 790   5   0  341   0   0   0   7   3   1   0   1   2   0   0 100
Renato_Veiga  22 por  1 13  5  1 36 864  36 579 368   6   0  570   0   0   0   7   2   2   0   0   0   0   0 100
Logan_Costa   25 fra  1 12  5  1 36 440 688 570 365   5   0  476   0   0   0   4   0   1   1   0   0   0   0 100
Rafa_Marin    24 spa  1 11  5  1 38 688 472 343 711   5   0  477   0   0   0   3   3   2   1   1   2   0   0  79
Pau_Navarro   21 spa  1 11  5  1 38 895 631 685 972   4   0  322   0   0   0   7   3   0   0   0  10   0   0 100
Juan_Foyth    28 arg  1 11  5  1 34 722 444 936 416   4   0  280   0   0   0   3   2   0   0   0   4   0   0  86
S_Mourino     24 uru  1 11  4  4 16  74 509 558 560  10   2  863   0   0   0  12   4   5   1   0   0   0   0  79
Sergi_Cardona 26 spa  1 11  4  4 20 810 495 182 461   8   8  216   0   0   0   2   2   1   0   1   0   0   0 100
W_Kambwala    21 fra  1 10  4  1 34 140 580 580 580   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Freeman  21 usa  1 10  4  4 16 120 750 680 260   3   0  205   0   0   0   3   0   0   0   0   0   0   0 100
S_Altimira    24 SPA  1  5 13  5 25 498  60 129 529  10   0  652   0   0   0   3  13   8   0   0   2   0   0 100
Pape_Gueye    27 sen  1  5 12  5 25 498 832 760 487  10   0  953   1   0   0   4  22   5   0   1   2   0   0  79
S_Comesana    29 spa  1  5 11  4 30 563 614 644 293  10   0  953   0   0   0   3  18   6   1   1   6   0   0  79
Thomas_Partey 32 gha  1  5 11  2 34 957 274 732 429  10   0  904   0   0   0   7  13   3   0   0   6   0   0  79
Dani_Parejo   37 spa  1  4 11  5 34 616 974 460  68  10   9  402   0   0   0   1   9   4   1   0   2   0   0 100
G_Mikautadze  25 GEO  1  3  6 13 28 942 969 342 538   9   0  774   0   0   0   0   2  24   3   0   4   0   0 100
A_Moleiro     22 spa  1  1  6 12 20 427 159  60 243   3   0  260   0   0   0   1   1   3   0   1   0   0   0 100
Nicolas_Pepe  30 ivo  1  1  4 12 16 140 408 819  72   8   6  300   0   0   0   1   0   5   3   0   2   0   0 100
T_Buchanan    27 can  1  1  5 12 18 651 659 199  24   7   0  564   0   0   0   0   0  11   3   0   2   0   0  79
T_Oluwaseyi   26 can  1  3  5 11 28 250 160 583 518   2   2   53   0   0   0   0   0   2   0   0   0   0   0 100
Ayose_Perez   32 spa  1  3  4 11 30 123 153 785 741   1   1   52   0   0   0   0   0   7   1   0   0   0   0 100
