Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Carlos_Miquel 27 bra 12  1  1  1 20 302 155 163 175   6   0  570   0  38  10   0   0   0   0   0   0   0   0 100
M_Hermansen   25 den 11  1  1  1 22 506 768 947 406  12   0 1132   0  38  24   0   0   0   0   0   0   0   0 100
A_Areola      33 fra 10  1  1  1 20  95 565 536 536   5   5   68   0   0   0   0   0   0   0   0   0   0   0 100
Willian_Pacho 24 ecu  1 13  5  1 36 142 511 920 295   7   0  660   0   0   0   8   5   3   2   0   0   0   0 100
Alexsandro    26 bra  1 13  5  1 34 455  19 740 449  14   0 1307   0   0   0  20   6   8   0   2  14   0   0  98
Juan_Fedorco  25 arg  1 12  5  1 36 128 659 823 224   5   0  476   0   0   0  10   1   3   1   0   4   0   0  69
L_Di_Lollo    22 arg  1 12  5  1 34 138 129 752 143   7   1  591   0   0   0  16   3   0   0   0   4   0   0  84
Danilo_Veiga  23 bra  1 12  5  4 20 520  26 699 509   7   3  482   0   0   0   7   4   5   0   0   0   0   0  80
Khellven      25 bra  1 11  5  4 16 140 623 585 625   1   0   94   0   0   0   2   0   2   0   0   0   0   0 100
Martinelli    24 bra  1  5 13  2 34 244 879 151 384  10   0  837   1   0   0   2  19   5   0   2   2   0   0  64
Hercules      25 bra  1  4 13  5 26 152 671  11 933  10   0  946   0   0   0   3  18   8   1   4   2   0   0  56
C_Ordonez     21 ARG  1  6 12  5 30 410 238 890 222  11   0  991   2   0   0   6  22  10   1   4   2   0   0  56
Manuel_Ugarte 25 uru  1  5 12  3 34 972 227 869 592  18   6 1062   1   0   0   4  19   9   1   2  12   0   0  84
Joel_Medina   18 arg  1  4 12  4 26 153 831 108 991   7   0  663   0   0   0   1  12   8   2   0   0   0   0  62
Tomas_Soucek  31 cze  1  5 11  2 34 972 195 798 433  11   1  905   0   0   0   3  16   2   0   0   2   0   0 100
M_Delgado     21 arg  1  5 11  2 36 140 709 924 396   7   0  573   0   0   0   0  13   5   1   1   4   0   0  84
M_Pellegrino  24 arg  1  4  5 13 30 350 558 642  72   9   2  699   1   0   0   0   4  32   6   0   4   0   0 100
Wallace_Yan   21 BRA  1  3  6 13 24 142 280 285 193   9   3  617   1   0   0   1   4  27   8   0   0   0   0  98
L_Guilherme   20 bra  1  2  5 12 18 150 275 495 674   4   2  243   0   0   0   0   0  14   2   0   0   0   0 100
Pablo         22 bra  1  3  5 11 28 265 175 598 512   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
