Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joan_Garcia   25 spa 14  1  1  1 22 134 972 282 829   2   0  189   0   6   2   0   0   0   0   0   0   0   0 100
M_Ter_Stegen  34 ger 13  1  1  1 22 869 313 480 418   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Szczesny    36 pol 12  1  1  1 22  86 810 208 906   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jules_Kounde  27 fra  1 14  6  3 34 917 126 247 184   2   0  189   0   0   0   2   0   0   0   0   2   0   0  86
Pau_Cubarsi   19 spa  1 14  7  1 34 230 264 177 769   2   0  189   0   0   0   4   1   1   0   0   0   0   0  86
Ronald_Araujo 27 uru  1 14  5  1 38 851 481 457 797   2   0  189   0   0   0   4   0   1   1   0   0   0   0  86
A_Balde       22 spa  1 13  6  5 20 142 982 287 675   1   0   93   0   0   0   0   0   0   0   0   0   0   0 100
A_Christensen 30 den  1 13  6  1 36 343 497 410 716   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
Eric_Garcia   25 spa  1 13  6  2 32 255 723 386 499   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Martin 24 spa  1 12  5  3 22 121 557 536 629   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hector_Fort   20 spa  1 12  5  4 18 329 344 264 962   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedri         23 spa  1  4 15  7 22 662 120 226 164   2   0  189   0   0   0   0   4   1   1   0   0   0   0  86
F_deJong      29 hol  1  5 14  5 28 692 884 988 244   2   0  138   0   0   0   0   5   2   0   1   0   0   0 100
Gavi          21 spa  1  6 14  5 30 927 295 367 688   2   1  144   0   0   0   2   1   2   0   1   0   0   0 100
Dani_Olmo     28 spa  1  2 14  8 22 504 447 194 455   2   0  141   0   0   0   0   2   0   0   0   0   0   0  93
Jo_Bellingham 21 eng  1  6 14  6 28 683 295 532  82   5   1  332   0   0   0   4  13   2   0   2   2   0   0  93
Fermin_Lopez  23 spa  1  3 13  8 24 718 634 284 912   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marc_Casado   22 spa  1  6 13  3 30 940 176 121 819   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marc_Bernal   19 spa  1  5 12  3 28 763 552 904 888   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lamine_Yamal  19 spa  1  1  8 15 18 640 614 744 311   2   0  189   1   0   0   1   0   6   2   0   0   0   0  86
Karim_Adeyemi 24 ger  1  1  5 14 18 615 266 120 650   2   0   90   0   0   0   0   0   2   0   0   0   0   0 100
A_Gordon      25 eng  1  1  5 14 20 467 112 228 583   2   2   99   0   0   0   0   0   4   0   0   0   0   0 100
Ferran_Torres 26 spa  1  1  5 13 22 244 297 719 532   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Bardghji    20 swe  1  1  5 12 18 166 143 237 153   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
