Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  40 ger 15  1  1  1 22  13 547 816 793   5   0  477   0  32  12   0   0   0   0   0   2   0   0 100
Jonas_Urbig   23 ger 13  1  1  1 20 832 917 300 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sven_Ulreich  38 ger 11  1  1  1 20 159 697 836 204   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Davies      25 can  1 14  6  5 20 927 182 222 480   5   0  425   0   0   0   5   5   7   2   0   2   0   0  86
D_Upamecano   27 fra  1 14  5  1 38 750 519 615 444   5   1  432   0   0   0   3   3   1   0   0   0   0   0  86
Jonathan_Tah  30 ger  1 14  5  1 38 973 883 243 598   4   0  380   0   0   0   7   2   1   0   0   0   0   0  86
Kim_Min-Jae   29 kor  1 13  5  1 38 164 219 357 664   5   0  269   0   0   0   1   3   0   0   0  12   0   1 100
Hiroki_Ito    27 jap  1 13  5  2 34 189 856 231 718   5   3  292   0   0   0   4   1   1   0   0   0   0   0 100
J_Stanisic    26 cro  1 13  5  3 28 615 428 285 856   2   1  147   0   0   0   3   1   1   0   0   2   0   0 100
Jamal_Musiala 23 ger  1  2 15 10 20 885 750 822 944   5   0  477   0   0   0   0  13   7   0   1   2   0   0  86
J_Kimmich     31 ger  1  6 15  5 32 820 792 652 359   5   0  477   0   0   0   1  12   3   0   1   0   0   0  86
I_Saibari     25 mar  1  3 14  8 24 436 220 101 129   5   0  426   1   0   0   1   9  10   2   2   2   0   0  86
Konrad_Laimer 29 aut  1  6 13  5 34 926 712 448 187   3   0  238   1   0   0   0   6   1   0   2   0   0   0 100
A_Pavlovic    22 ger  1  5 13  4 30 457 312 752 318   4   2  240   0   0   0   1   6   1   0   0   0   0   0 100
Tom_Bischof   21 ger  1  4 12  5 24 789 713 616 566   1   1   52   0   0   0   0   1   0   0   0   0   0   0 100
Lennart_Karl  18 ger  1  1 12  6 18 925 336 809 368   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Ibrahimovic 20 ger  1  2 11  6 20 300 855 620 902   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felipe_Chavez 19 per  1  2 11  5 18 753 796 920 172   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Kane    33 eng  1  3  6 15 30 550 621 277 988   4   0  280   0   0   0   0   0  17   2   0   0   0   0  99
Michael_Olise 24 fra  1  1  7 15 20 616 380 157 764   5   2  387   1   0   0   0   2  21   4   0   2   0   0 100
Luis_Diaz     29 col  1  1  6 14 20 932 229 234 545   2   0  190   0   0   0   0   1   5   0   0   0   0   0  93
Serge_Gnabry  31 ger  1  1  5 13 22 605 338 182 572   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
