Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Leandro_Brey  23 arg 12  1  1  1 20 235 123 942 583   2   0  185   0   5   1   0   0   0   0   0   0   0   0 100
A_Marchesin   38 arg 12  1  1  1 22 694 297 109 878   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Garcia      39 arg 11  1  1  1 20 688 927 347 706   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Advincula   36 per  1 13  5  4 24 322 868  99 900   2   0  185   0   0   0   3   0   2   0   0   2   0   0  89
A_Costa       27 arg  1 13  5  1 36 334 432 738 178   2   0  185   0   0   0   0   0   0   0   0   0   0   0  89
M_Rojo        36 arg  1 12  5  1 38 845 249 238 201   1   0   93   0   0   0   0   1   0   0   0   0   0   0 100
N_Figal       32 arg  1 12  5  1 36 650 891 438 665   2   0  137   0   0   0   3   0   0   0   0   0   0   0  94
L_Blanco      27 arg  1 12  5  4 20 347 716 471 534   2   1  140   0   0   0   2   0   0   0   0   0   0   0  94
J_Barco       27 arg  1 12  5  3 20 287 584 868 240   1   0   45   0   0   0   0   1   1   1   0   0   0   0 100
J_Saracchi    28 uru  1 12  5  4 20 385 154 566 689   1   1   47   0   0   0   0   1   0   0   0   0   0   0 100
M_Weigandt    26 arg  1 11  4  3 22 544 345 704 263   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Paredes     32 arg  1  5 15  5 30 201  97  16 518   2   0  185   1   0   0   0   5   3   0   1   0   0   0  89
K_Zenon       25 arg  1  2 13  6 20 368 769 607 921   2   0  185   1   0   0   0   5   1   1   1   0   0   0  89
E_Fernandez   34 arg  1  5 13  5 30 904 719 318 614   2   0  185   0   0   0   1   6   3   0   1   0   0   0  89
A_Herrera     27 arg  1  5 13  4 30 605 967 470 160   2   0  185   0   0   0   0   1   1   0   0   2   0   0  89
M_Delgado     23 arg  1  5 12  3 28 721 729 929 574   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Alarcon     22 chi  1  4 12  5 24 424 727 411 133   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Palacios    25 chi  1  2 12  7 22 914 314 258 835   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Zeballos    24 arg  1  1  5 13 18 972 142 792 992   1   0   93   0   0   0   0   2   8   1   0   0   0   0 100
M_Merentiel   30 uru  1  2  4 13 28 210 162 772 911   2   0   90   0   0   0   0   0   3   0   0   0   0   0 100
E_Cavani      39 uru  1  3  5 13 32 175 147 515 335   2   2   95   0   0   0   0   1   5   0   0   0   0   0 100
M_Gimenez     30 arg  1  3  4 12 28 345 350 884 368   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Aguirre     23 arg  1  1  5 12 18 581 875 835 596   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Janson      31 arg  1  1  5 12 20 155 126 267 509   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Ceballos    21 arg  1  2  4 11 18 750 807 894 736   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
