Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Agustin_Rossi 30 arg 14  1  1  1 22  94 474 740 560   3   0  284   0  25   3   0   0   0   0   0   0   0   0 100
Andrew        25 bra 12  1  1  1 20 499 974 282 280   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dyogo_Alves   22 bra 10  1  1  1 18 772 487 137 518   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Leo_Ortiz     30 bra  1 15  6  1 36 533  26 579 156   3   0  284   0   0   0   2   1   1   0   0   0   0   0  80
Leo_Pereira   30 bra  1 13  5  1 36 620 447 307 323   2   0  189   0   0   0   2   1   0   0   0   0   0   0  94
Danilo        35 bra  1 13  6  2 34 586 755 702 943   2   0  189   0   0   0   2   0   3   1   0   2   0   0  94
Alex_Sandro   35 bra  1 13  6  4 24 956 803 629 340   3   0  232   0   0   0   3   0   3   0   0   2   0   0  88
Emerson_Royal 27 bra  1 13  5  4 22 969 525 456 567   3   2  169   0   0   0   2   2   0   0   0   0   0   0 100
Varela        33 uru  1 12  5  3 24 211 515 624 843   1   0   45   0   0   0   0   2   0   0   1   0   0   0 100
Ayrton_Lucas  29 bra  1 12  5  4 20 812 946 825 752   1   1   50   0   0   0   1   1   0   0   0   0   0   0 100
Vitao         26 bra  1 12  5  1 34 117 614 334 850   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorginho      34 ita  1  5 14  5 30 340 537 639  20   2   0  189   0   0   0   0   5   3   0   1   0   0   0  94
L_Paqueta     29 bra  1  3 14  7 24 962 611 446 213   2   0  189   1   0   0   1   6   6   0   1   0   0   0  94
De_Arrascaeta 32 uru  1  2 14  8 22 261 970 817 950   2   0  189   0   0   0   0   8   4   1   0   0   0   0  94
De_La_Cruz    29 uru  1  5 13  6 28 182 136 556 376   2   0  142   0   0   0   0   4   1   0   1   0   0   0 100
Saul          31 spa  1  5 13  5 30  91 261 324 349   2   0  140   0   0   0   0   2   2   1   0   0   0   0 100
Erick_Pulgar  32 chi  1  6 13  4 32 207 467 246 991   3   2  144   0   0   0   1   3   1   0   0   2   0   0 100
Carrascal     28 col  1  2 13  7 22 305 785 902 749   1   1   50   0   0   0   0   1   0   0   0   0   0   0 100
E_Araujo      23 bra  1  5 12  4 28 282 526 323 395   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedro         29 bra  1  3  5 14 30 745 466 318 460   2   0  192   0   0   0   1   2  10   0   0   0   0   0 100
G_Plata       25 ecu  1  1  7 13 20 379 441   4 630   2   0  165   0   0   0   0   1   5   1   0   0   1   0  96
Samuel_Lino   26 bra  1  1  6 13 18 864 357 457 912   2   0  140   0   0   0   1   1   3   1   0   0   0   0  99
Luiz_Araujo   30 bra  1  1  5 13 18 138 697 290 881   2   1  109   0   0   0   0   1   0   0   0  10   0   1 100
B_Henrique    35 bra  1  1  5 12 22 473 480 613 860   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Everton       30 bra  1  1  5 12 18 666 434 437 499   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wallace_Yan   21 bra  1  1  4 11 18 241 326 649 979   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
