Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rodrigo_Rey   35 arg 12  1  1  1 22 591 573 821 180   2   0  192   0   9   5   0   0   0   0   0   0   0   0 100
J_Blazquez    25 arg 11  1  1  1 20 629 946 588 559   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Lavagnino   21 arg 10  1  1  1 18 928 801 310 852   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Lomonaco    24 arg  1 13  5  1 36 610 384 244 281   2   0  192   0   0   0   7   3   0   0   0   0   0   0  86
F_Zabala      27 arg  1 12  5  4 20 601 474 470 758   1   0   96   1   0   0   4   2   1   0   0   0   0   0 100
S_Arias       34 col  1 12  5  4 22 168 222 184 700   1   0   96   0   0   0   2   1   0   0   0   0   0   0 100
Leo_Godoy     31 arg  1 12  5  4 22 379 993 329 443   1   0   96   0   0   0   1   1   1   1   0   0   0   0 100
S_Valdez      30 arg  1 12  5  1 36 835 996 313 209   2   0  141   0   0   0   3   0   0   0   0   0   0   0  93
Juan_Fedorco  25 arg  1 12  4  1 34 722 833 331 677   2   1  147   0   0   0   3   2   0   0   0   0   0   0  93
N_Freire      32 arg  1 11  4  1 36 826 409 825  86   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Valenzuela  27 arg  1 11  5  4 20 858 363 957 423   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_FernandezC  30 uru  1  6 12  3 32 101 792 714 816   2   0  192   0   0   0   1   5   1   0   1   0   0   0  86
Ivan_Marcone  36 arg  1  6 12  3 34 222 459 705 707   2   0  141   0   0   0   3   4   1   0   1   0   0   0  99
F_Mancuello   37 arg  1  3 12  5 26 453 215 642 840   2   1  147   0   0   0   0   4   1   0   0   0   0   0 100
L_Millan      20 chi  1  2 12  6 20 177 960 168 303   2   0  141   0   0   0   0   1   1   0   0   0   0   0  93
L_Cabral      31 chi  1  2 12  7 22 184 777 750 303   2   1  147   0   0   0   0   4   3   1   0   0   0   0  93
Mateo_PerezC  20 arg  1  2 11  5 18 902 593 767 821   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Malcorra    38 arg  1  2 11  6 22 453 517 447 760   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joel_Medina   18 arg  1  3 10  4 18 392 793 390 920   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matias_Abaldo 22 uru  1  1  5 14 18 515  84 926  82   2   0  192   0   0   0   0   1   9   1   0   0   0   0  86
S_Montiel     25 arg  1  1  5 12 18 610 190 448 442   1   0   96   0   0   0   0   1  10   1   0   0   0   0  93
M_Gutierrez   22 chi  1  1  5 12 18 642 852 815 747   1   0   45   0   0   0   0   0   1   0   0   2   0   0 100
I_Pussetto    30 arg  1  2  4 12 28 345 168 308 610   1   1   51   0   0   0   0   0   2   0   0   0   0   0 100
G_Avalos      35 par  1  3  4 12 30 617 871 445 938   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Valdez      20 arg  1  1  4 10 18 821 623 676 249   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
