Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_DiGregorio  29 ita 14  1  1  1 22 147 685 437 674   2   0  187   0  21   3   0   0   0   0   0   0   0   0 100
Mattia_Perin  33 ita 12  1  1  1 22 889 191  82 399   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Pinsoglio   36 ita 10  1  1  1 20 616 866 664 422   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Gatti       28 ita  1 13  5  1 38 379 329 964 450   2   0  187   0   0   0   4   0   0   0   0   2   0   0  88
Pierre_Kalulu 26 fra  1 13  5  2 34 249 883 231 182   2   0  187   0   0   0   2   0   0   0   0   0   0   0  88
Lloyd_Kelly   27 eng  1 13  5  1 36 755 499 478 250   2   0  187   0   0   0   1   2   0   0   0   2   0   0  88
A_Cambiaso    26 ita  1 13  6  5 22 772 346 844 379   2   0  187   0   0   0   2   2   3   2   0   0   0   0  88
D_Rugani      32 ita  1 12  5  1 36 947 520 710 475   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Cabal    25 col  1 12  5  2 32 930 551 588 972   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Mario    26 por  1 12  6  4 20 706 398 916 618   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Zeki_Celik    29 tur  1 12  5  4 22 336 142 415 924   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jonas_Rouhi   22 swe  1 11  4  3 18 881 480 968 445   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joseph_Owusu  20 gha  1 11  4  1 28 950 675 865  94   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Gil_Puche   19 spa  1 10  4  1 28 641 275 288 138   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Locatelli   28 ita  1  6 14  4 32 719 247 518 952   2   0  187   0   0   0   2   6   2   0   0   0   0   0  88
Arthur        30 bra  1  3 14  3 24 481 641  90 650   2   0  151   0   0   0   0   6   2   0   1   0   0   0  93
Douglas_Luiz  28 bra  1  5 13  6 30 823 863 843  27   2   0  138   0   0   0   0   3   3   0   2   0   0   0 100
Fabio_Miretti 23 ita  1  4 13  5 26 270 982 964 850   2   1  142   0   0   0   1   1   0   0   0   0   0   0 100
V_Adzic       20 mne  1  3 12  6 20 661 858 739 721   1   1   36   0   0   0   0   1   0   0   0   0   0   0 100
Kenan_Yildiz  21 tur  1  1  6 14 20 582 925 714 718   2   0  187   0   0   0   0   0  12   1   0   0   0   0  88
Lois_Openda   26 bel  1  2  5 14 24 912 615 795 390   2   0  151   2   0   0   0   0  13   3   0   0   0   0  93
Edon_Zhegrova 27 kos  1  1  6 13 18 467 684 395 939   2   1   81   0   0   0   0   1   2   1   0   0   0   0 100
Jeremie_Boga  29 civ  1  1  5 13 18 661 526 484 394   1   1   49   0   0   0   0   1   0   0   0   0   0   0 100
A_Milik       32 pol  1  3  4 12 30 803 348 658 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Ekhator     19 ita  1  2  4 11 20 193 645 572 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Oboavwoduo  19 eng  1  1  4 11 18 704 968 270 407   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Licina      19 ger  1  1  4 11 18 857 820 515 542   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
