Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
L_Chevalier   24 fra 14  1  1  1 22 221 772 710 446   1   0   97   0   0   1   0   0   0   0   0   0   0   0 100
M_Safonov     27 rus 13  1  1  1 22 253 647 809 756   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Longoni     18 fra 11  1  1  1 18 702 266 473 379   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Hakimi      27 mar  1 14  7  6 22 712 519 659 693   1   0   97   0   0   0   0   0   1   0   0   0   0   0  91
Marquinhos    32 bra  1 14  6  1 38 124 837 642 659   1   0   97   0   0   0   1   1   1   0   0   0   0   0  91
Nuno_Mendes   24 por  1 14  6  5 20 532 360 622 225   1   0   97   0   0   0   3   1   1   0   0   0   0   0  91
L_Beraldo     22 bra  1 13  6  1 34 268 703 669 532   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
I_Zabarnyi    23 ukr  1 13  5  1 36 714 861 612 980   1   1   52   0   0   0   1   0   0   0   0   0   0   0 100
L_Hernandez   30 fra  1 13  5  2 36 166 909 134 786   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Vitinha       26 por  1  4 15  6 24 593 937 340 811   1   0   97   0   0   0   0   3   0   0   0   0   0   0  91
Joao_Neves    21 por  1  6 14  5 30 623 608 218 572   1   0   34   0   0   0   0   0   0   0   0  10   0   1 100
Fabian_Ruiz   30 spa  1  4 14  5 28 716 501 737 570   1   0   45   0   0   0   0   1   0   0   0   0   0   0 100
Pablo_Barrios 23 spa  1  6 14  6 32 518 308 303   7   1   1   52   0   0   0   0   1   0   0   0   0   0   0 100
W_Zaire-Emery 20 fra  1  5 13  5 30 766 150 332 705   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kang_In_Lee   25 kor  1  2 13  7 20 174 928 420 466   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Senny_Mayulu  20 fra  1  3 12  5 22 784 279 602 517   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dro_Fernandez 18 spa  1  2 11  5 18 845 697 521 940   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Dembele     29 fra  1  1  7 15 20 487 216 904 278   1   0   97   0   0   0   0   0   3   0   0   0   0   0  91
K_Kvara'helia 25 geo  1  1  7 14 20 452 292 153 707   1   0   97   0   0   0   0   0   4   0   0   0   0   0  91
Desire_Doue   21 fra  1  1  7 14 18 322 726 400 523   1   0   97   0   0   0   0   1   0   0   0   0   0   0  91
Ibrahim_Mbaye 18 fra  1  1  5 12 16 764 865 353 924   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Q_Ndjantou    19 fra  1  1  4 11 18 403 734 840 561   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
