Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Franco_Armani 39 arg 13  1  1  1 22 970 796 790 778   2   0  186   0  17   6   0   0   0   0   0   0   0   0 100
S_Beltran     21 arg 12  1  1  1 20 148 811 413 510   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Centurion   29 arg 11  1  1  1 20  83 878 369 414   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Montiel     29 arg  1 13  5  4 22 561 712 848 374   2   0  186   0   0   0   0   0   1   0   0   2   0   0  88
L_Martinez    30 arg  1 13  5  1 38 541 580 955 642   2   0  131   0   0   0   1   0   0   0   0  10   0   1 100
P_Diaz        32 chi  1 13  5  1 38 704 582 222 660   1   0   93   0   0   0   1   0   0   0   0   0   0   0 100
M_Acuna       34 arg  1 13  6  4 24 300 842 273  94   2   0  150   0   0   0   3   0   0   0   0   0   0   0  94
S_Boselli     22 uru  1 12  5  1 34 353 283 750 851   1   1   36   0   0   0   1   0   0   0   0   0   0   0 100
M_Casco       38 arg  1 11  5  3 22 386 190 325 651   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Gonzalez    21 arg  1 11  5  1 32 573 761 813 111   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Meza        21 arg  1 10  5  3 20 681 115 869 264   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Fernandez   36 arg  1  3 13  5 26 816 497 631 631   2   0  186   0   0   0   0   3   0   0   0   0   0   0  88
S_Simon       24 arg  1  4 13  5 26 779 841 393 590   2   0  186   0   0   0   0   1   1   0   0   0   0   0  88
E_Perez       40 arg  1  6 12  3 34 669 159 929 780   2   0  186   0   0   0   0   3   2   0   1   0   0   0  88
M_Lanzini     33 arg  1  2 12  6 22 935 859 905 664   2   0  186   0   0   0   0   2   1   0   0   0   0   0  88
C_Echeverri   20 arg  1  1 12  7 18 272 107 526 557   2   0  186   0   0   0   0   2   2   0   0   2   0   0  88
P_Solari      25 arg  1  1  5 13 18 807 121 555 439   2   0  138   0   0   0   0   1   4   2   1   0   0   0  94
F_Colidio     26 arg  1  1  5 13 20 568 140 646 323   2   1   93   0   0   0   0   1   1   0   0   2   0   0 100
Miguel_Borja  33 col  1  3  4 13 30  93 283 500 252   1   1   48   0   0   0   0   0   1   1   0   2   0   0 100
A_Bareiro     30 par  1  3  4 12 30 943 809 334 597   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Ruberto     20 arg  1  2  4 11 20 723 406 189 793   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Subiabre    19 arg  1  1  5 11 18 354 430 276 389   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
