Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    34 bel 14  1  1  1 22 795 947 279 632   3   0  288   0  20   6   0   0   0   0   0   0   0   0 100
A_Lunin       27 ukr 13  1  1  1 20 447 558 129 759   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Dumfries    30 hol  1 14  6  5 24 595 347 756 340   2   0  193   0   0   0   3   3   2   0   0   0   0   0  93
I_Konate      27 fra  1 14  5  1 38 375 657 852 881   2   0  193   0   0   0   5   3   0   0   0   0   0   0  93
M_Cucurella   28 spa  1 14  6  4 24 297 497 565 254   2   0  193   0   0   0   4   1   5   0   0   0   0   0  93
E_Militao     28 bra  1 14  5  1 38 341 274 283 167   2   0  140   0   0   0   0   2   0   0   0   2   0   0 100
Trent_AA      27 eng  1 13  8  5 22 535 885 684 502   2   1  148   0   0   0   1   3   3   0   0   0   0   0 100
R_Asencio     23 spa  1 13  5  1 34 276 587 896 421   1   0   74   0   0   0   2   1   1   0   0  10   0   0 100
A_Carreras    23 spa  1 13  6  4 20 324 732 910 493   1   0   45   0   0   0   0   1   0   0   0   0   0   0 100
A_Rudiger     33 ger  1 13  5  1 40 512 293 144 520   1   1   50   0   0   0   0   0   0   0   0   0   0   0 100
F_Mendy       31 fra  1 13  5  3 22 558 391 296 193   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dean_Huijsen  21 spa  1 13  6  1 34 747 923 719 776   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_M_Diouf     21 sen  1 13  5  4 16 849  33 537 356   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Bellingham  23 eng  1  5 15  9 30 484 881 572 339   2   0  193   0   0   0   0   8   2   0   1   0   0   0 100
F_Mastantuono 19 arg  1  2 14 10 18 650 947 604 388   4   2  257   2   0   0   0   8  14   2   0   0   0   0  86
Bernard_Silva 31 por  1  2 14  8 22 416 788 993 396   2   0  193   0   0   0   1   2   3   0   0   0   0   0  93
E_Camavinga   23 fra  1  6 14  4 30 513 196 580 907   2   0  193   0   0   0   1   6   1   1   0   2   0   0  93
F_Valverde    28 uru  1  5 14  7 32 764 508 175  64   3   0  249   0   0   0   0   6   4   1   1   0   0   0  86
Arda_Guler    21 tur  1  2 13  7 20 433 894 128 471   3   1  129   0   0   0   0   2   1   0   0   0   0   0 100
Brahim_Diaz   27 mar  1  1 13  8 20 801 477 141 386   2   2  100   0   0   0   1   4   3   0   0   0   0   0 100
J_v_der_Berg  19 hol  1  5 11  5 24 198   6 358 317   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dan_Gore      21 eng  1  3 11  4 30 215 433 176 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Mbappe      27 fra  1  1  6 15 26 657 916 334 209   2   0  193   0   0   0   0   5  13   1   0   2   0   0 100
Vinicius_Jr   26 bra  1  1  6 15 20 522 291 361 277   3   0  249   1   0   0   1   0  12   2   0   2   0   0  86
G_Garcia      22 spa  1  2  5 13 26 825 927 451 748   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
Endrick       20 bra  1  2  4 13 24 944 976 602 409   1   1   50   0   0   0   0   0   1   0   0   0   0   0 100
R_van_Bommel  21 hol  1  1  4 12 12 711 751 350   6   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
