Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
David_Raya    31 spa 22  1  1  1 20 928 827 327 327   7  42   0   0   0   0   0   0   0   0 100
Neto          38 bra 11  1  1  1 18  28 327 327 327   0   0   0   0   0   0   0   0   0   0 100
Jakub_Kiwior  27 pol  1 15  5  2 38 327 891 945 517   7   0  10   4   4   0   0   4   0   0  99
R_Calafiori   25 ITA  1 15  5  5 20 327 529  55 916   6   0   6   3   2   0   0   0   0   0 100
M_L-Skelly    21 ENG  1 15  6  5 18 327 498  98  90   6   0   5   3   4   0   0   2   0   0  93
W_Saliba      26 fra  1 15  7  2 38 327 351  91  60   7   0   6   3   4   0   0   4   0   0  93
Radu_Dragusin 24 rom  1 15  7  2 37 441  40 442  68   4   0   5   6   0   0   0   0   0   0  93
M_Darmian     37 ita  1 13  6  6 24 827 704 789 417   2   0   2   3   0   0   0   2   0   0 100
R_Betancur    29 uru  1  5 16  3 38 305 920 950 341   4   0   2  17   1   0   0  12   0   0 100
I_Sangare     30 ivo  1  6 16  3 34 327 990 782 325   5   0   1  12   2   0   1   0   0   0  86
T_Partey      34 gha  1  5 15  4 36 327 353 898  17   7   0   1  15   2   0   1   6   0   0  86
Lucas_Ventura 29 bra  1  4 15  2 34 332 976 977 462   6   0   1  19   1   0   0   0   0   0  86
G_Misehouy    22 hol  1  1 13  5 16 259 712 309 669   5   0   0   5   3   0   0   0   0   0  93
D_van_de_Beek 30 hol  1  3 13  4 28 327 797 426 853   5   0   1  10   4   0   0   2   0   0  93
M_Rosiak      22 pol  1  5 13  2 36 259 640 561 794   2   0   1   0   0   0   0   0   0   0 100
Gabriel_Jesus 30 bra  1  3  5 17 26 327 881 767 532   7   0   1   4  33   2   0   2   0   0 100
G_Martinelli  26 bra  1  2  5 17 20 250 722 339 676   7   0   0   3  34   2   0   0   0   0 100
L_Trossard    33 bel  1  1  4 12 20 327 350 473 772   4   0   0   1  20   1   0   2   0   0 100
