Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
D_Peretz      26 isr 16  1  1  1 36 689 575 650 575   9  28   0   0   0   0   0   0   0   0 100
J_Pickford    33 eng 13  2  2  1 30 618 185 173 604   0   0   0   0   0   0   0   0   0   0 100
Joao_Cancelo  32 por  1 17  8  6 21 830 111 609 591   9   0   6   6   3   0   0   0   0   0  74
Ben_Chilwell  30 eng  1 16  8  6 18 724 757 530 830   9   0  10   4   3   1   1  12   0   0  94
M_de_Ligt     27 hol  1 16  8  2 36 677 302 722 280   9   0   9   3   4   0   0   2   0   0  84
Samuel_Umtiti 33 fra  1 16  7  2 38   5 896 565 158   7   0   8   4   0   0   1   0   0   0  89
L_Klostermann 30 ger  1 15  6  1 38 505 209 513 877   6   0   8   4   0   0   0   0   0   0 100
David_Luiz    37 bra  1 15  8  2 38 580 486 170 228   6   0   4  10   4   0   2   4   0   0 100
Florian_Wirtz 22 ger  1  3 21  9 16 770 139 561 520   9   0   2  17   7   0   1   0   0   0  74
Mario_Pasalic 31 cro  1  5 18  7 26 840 375 184 352   9   0   2  20   6   0   2   0   0   0  74
Kendry_Paez   21 ecu  2  3 16  7 20 336 458 698 189   9   0   2  16   9   0   0   0   0   0  74
F_Goncalves   20 por  1  4 15  6 22 635 337 270 658   7   0   3   9   3   0   0   0   0   0  83
E_Ferguson    22 eng  1  3  7 22 22 572 779 378 121   9   0   2   3  31   2   1   0   0   0  83
Jeremy_Doku   25 bel  1  2  6 22 20 801 184 740 594   7   0   1   1  25   4   0   2   0   0  94
Cody_Gakpo    28 hol  1  4  7 18 18 978 395  28  33   4   0   1   1   6   1   0   0   0   0 100
R_Lewandowski 38 pol  2  1  5 17 29  18 335 250 131   8   0   0   0  10   1   0   0   0   0 100
Laut_Martinez 32 arg  2  2  5 16 27 138 734 519 131   3   0   0   0   4   1   0   0   0   0 100
C_Ronaldo_Jr  16 por  1  3  5 15 22 458 521 229  43   0   0   0   0   0   0   0   0   0   0 100
