Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
Neto          38 bra 21  1  1  1 32 927 264 295 349   5  38   0   0   0   0   0   0   0   0 100
H_Vald'arsson 24 ice 14  1  1  1 20 993 803 303 303   0   0   0   0   0   0   0   0   0   0 100
Matthew_Fox   23 nir 13  1  1  1 18 817 303 303 303   0   0   0   0   0   0   0   0   0   0 100
N_Collins     25 ire  1 15  6  1 38 303 575 224 454   5   0   5   3   1   0   0   4   0   0  86
J_Andersen    30 den  1 15  7  1 36 352  63   8 830   4   0   1   2   0   0   1   0   0   0  86
Hayden_Carter 26 eng  1 15  5  1 34 315 184 535 916   8   0   9   6   1   0   0   0   0   0 100
Rico_Henry    29 eng  1 14  7  6 20 803 137  29 452   3   0   3   1   1   0   0   2   0   0 100
K_L_Potter    25 eng  1 14  6  4 18 303 441  10 415   4   0   5   2   1   1   1   0   0   0  86
K_Ajer        28 nor  1 13  6  1 38 303 972 699 904   2   0   3   0   1   0   0   0   0   0 100
R_Varane      34 fra  1 13  6  4 34 539 176 273 302   2   0   2   0   0   0   0   0   0   0 100
M_Damsgaard   26 den  1  2 16  5 21 281 790 103 705   5   0   1   6   3   0   0   0   0   0  86
Naj_Razi      20 ire  1  3 15  6 18 457 264 284 296   5   0   3  10   4   2   1   0   0   0  86
Lewis_Brown   22 eng  1  5 15  3 38 244 891 221 534   5   0   1  10   1   0   3   2   0   0  86
Carlos_Baleba 22 cam  1  6 15  3 38 120 269 153 373   5   0   1   8   1   0   1   2   0   0  86
F_Onyeka      28 nig  1  4 12  4 26 235 836 905 334   2   0   1   2   0   0   0   0   0   0  86
Joe_Gelhardt  23 eng  1  2  5 17 20 429 998 831 680   5   0   0   2  17   5   1   2   0   0 100
Kevin_Schade  24 ger  1  1  5 15 26 303 869 719 979   5   0   0   1  12   3   0   2   0   0 100
Igor_Thiago   25 bra  1  3  5 14 28 226 734 196 722   4   0   1   1   4   0   0   2   0   0 100
