Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
Joan_Garcia   25 spa 19  3  3  2 18 544 457 457 457   6  40   0   0   0   0   0   0   0   0 100
R_Sanchez     29 spa 14  1  1  1 20 782 457 457 457   0   0   0   0   0   0   0   0   0   0 100
L_Bergstrom   24 fin 13  1  1  1 20 388 444 429 466   0   0   0   0   0   0   0   0   0   0 100
J_Branthwaite 24 eng  1 16  9  3 46 955 700 149 427   6   0   8   7   3   1   0   4   0   0  75
B_Badiashile  25 fra  1 15  5  2 36 457 689 645  95   5   0  10   2   1   0   0   2   0   0  86
M_Cucurella   28 spa  1 14  6  5 20 457 540 328 801   6   0   9   2   1   0   1   0   0   0  93
A_Hakimi      28 alb  1 14  6  5 29 671 147 521 993   6   0   7   6   2   1   1   0   0   0  98
Harry_Maguire 34 ENG  1 13  7  2 36 597 679 969 680   5   0   5   4   1   0   1   0   0   0  93
Ederson       27 bra  1  5 18  7 26 503  87 785 917   6   0   1  17   5   0   2   0   0   0  65
Douglas_Luiz  31 bra  1  3 15  6 32 403 737 677 527   6   0   1  10   9   1   1   0   0   0  65
C_Soler       30 spa  1  5 15  5 34 743 120 307 612   6   0   0  11   7   2   2   0   0   0  73
B_Kamara      26 fra  2  6 14  3 38 220 832 992 785   6   0   5  12   7   1   4   6   0   0  80
E_Sorensen    28 den  1  3  6 16 20 756 173 680 645   6   0   0   3  18   3   0   0   0   0  96
Ron_Stutter   22 eng  1  3  6 15 20 824 995 195 636   5   0   1   2  16   4   0   2   0   0  93
Leroy_Sane    31 ger  2  3  6 15 29 424  37 122 251   3   0   1   0   7   2   0   0   0   0  93
T_George      20 eng  1  1  5 14 21 255 864 964 214   5   0   0   1   9   3   0   0   0   0 100
J_Duranville  21 bel  1  3  6 13 24 870  95 159 675   2   0   1   0   1   1   0   0   0   0 100
