Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
Liam_Voets    20 bel 17  1  1  1 21 524 281 321 321   5  34   0   0   0   0   0   0   0   0 100
J_Zetterstrom 27 swe 14  1  1  1 20 159 264 264 264   0   0   0   0   0   0   0   0   0   0 100
Coby_Small    21 eng  1 15  6  2 38 395 505 760 323   4   0   4   2   0   0   0  10   0   0 100
G_Almeida     23 por  1 15  5  1 34 468  80 837 436   4   0   9   0   0   0   0   2   0   0  94
Sondre_Langas 25 nor  1 14  7  6 26 512 491 484 498   4   0   7   1   3   0   0   0   0   0  88
N_Milenkovic  29 ser  1 14  7  1 38 281 141 202 856   4   0   5   7   2   0   2   0   0   0  88
Luke_Shaw     31 eng  1 13  7  6 26 509 777  32 313   3   0   4   0   1   0   0   0   0   0  94
J_Acheampong  20 eng  1 13  6  5 22 313 561 270 983   1   0   2   2   0   0   1   0   0   0 100
Romeo_Lavia   23 bel  1  6 16  5 34 417 348 241 932   4   0   1  13   2   1   0   2   0   0  88
Y_Herrera     29 ven  1  7 15  5 26 276  34 737 817   3   0   1   5   3   0   0   0   0   0 100
K_Goudmijn    24 hol  1  5 15  7 32 332 276 220 426   4   0   1   8   0   0   1   0   0   0 100
C_Humphreys   20 eng  1  5 15  5 32 404 687 168 542   4   0   1   8   0   0   2   0   2   0 100
T_Cantwell    27 eng  1  2 15  6 22 315 813  38 493   7   0   0   6   2   1   0   0   0   0 100
K_Fitz-Jim    23 hol  1  5 15  3 32 517 789 478  23   2   0   1   5   0   0   0   0   0   0 100
Tim_Cognat    29 fra  2  5 14  5 36  71 642  53 725   1   0   0   0   0   0   0   0   0   0 100
M_Almiron     33 par  1  1  7 14 24 259 501   1 333   5   0   1   1  11   1   0   0   0   0  94
J_M_Bahoya    20 fra  1  2  4 14 24 136 593 934 496  10   0   0   2  12   0   0   2   0   0  88
Lars_Salvesen 30 nor  1  3  4 12 20 235 551 533 751   2   0   0   0   0   0   0   0   0   0 100
Reyes_Cleary  22 eng  1  3  4 13 24 370 425 779 609   5   0   2   1   5   1   0   0   0   0  94
