Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
T_Wellr'ther  31 ger 18  1  1  1 18 636 478 378 359   6  25   0   0   0   0   0   0   0   0 100
Jort_Roovers  18 hol 13  1  1  1 22 278 394 394 394   0   0   0   0   0   0   0   0   0   0 100
Ian_Maatsen   24 HOL  2 16  5  6 18 108 528 770 929   5   0   7   4   0   0   0   0   0   0 100
Milos_Kerkez  23 hun  1 16  5  6 20 354 187 819 637   6   0  10   0   3   0   0   0   0   0  89
Harry_Amass   20 eng  1 16  7  6 21 771 393 193 729   5   0   7   5   2   1   1   0   0   0  86
G_Silva       21 por  1 14  5  2 42 521 255 962 628   4   0   4   2   1   0   0   0   0   0  93
D_Hancko      29 slv  1 13  6  2 35 470 995 220 849   6   0   6   5   0   0   1   0   0   0 100
R_Manuhutu    19 hol  1 13  4  3 38 346 878 927 626   4   0   4   1   0   0   0   0   0   0 100
Ben_White     29 eng  1  7 16  8 22 838 854 414 274   2   0   1   5   2   0   1   0   0   0 100
B_Aaronson    26 usa  1  1 16  6 18 250 425 538 596  12   0   0  18   7   0   0   4   0   0  57
Sverre_Nypan  19 nor  1  5 16  5 28 412 856 590 138  12   0   5  23   3   0   1   2   0   0  60
T_v_den_Belt  25 hol  1  3 16  5 30 801 810 411 977   6   0   0  13   0   0   0   2   0   0  65
Javi_Guerra   24 spa  1  4 16  6 22 352 140 354 974   6   0   0  11   3   0   1   0   0   0  65
C_Eriksen     35 den  1  4 14  5 24 492 732 315 654   4   0   1   5   3   1   0   0   0   0  80
C_Kevin-Nadje 23 fra  1  4 14  6 18 331 532 322 253   5   0   0  10   1   0   0   0   0   0  71
Ato_Ampah     20 eng  1  2  6 18 18 497 132 802 539   5   0   1   3  16   1   0   0   0   0  86
Naci_Unuvar   23 TUR  1  1  5 17 20 340 736 863 448   4   0   0   0  23   1   0   0   0   0  93
Lionel_Messi  40 arg  1  2  7 16 22 392 371 359 364   5   0   0   1   5   0   0   2   0   0 100
J_Kluivert    28 hol  1  1  5 13 16 332 620 760 891   0   0   0   0   0   0   0   0   0   0 100
Daan_Rots     24 hol  1  1  6 13 20 261 606 179 800   1   0   0   0   1   0   0   0   0   0 100
