Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
S_Tangvik     23 nor 14  1  1  1 20 980 273 273 273   5  14   0   0   0   0   0   0   0   0 100
D_H_Fernandes 33 por 13  1  1  1 18 754 123 234 123   0   0   0   0   0   0   0   0   0   0 100
L_Vuskovic    18 cro  1 16  5  1 39 571 809 921 295   5   0   9   1   0   0   0   6   0   0  84
J_Torunarigha 28 nig  1 15  6  1 36 321  42  39 471   4   0   4   3   0   0   0  12   0   0 100
Miro_Muheim   27 swi  1 14  5  4 21 510 410 386 487   4   0   4   1   0   0   0   0   0   0  88
D_Elfadli     28 ger  1 14  5  1 38 246  86 422 739   5   0   6   2   1   0   0   2   0   0  96
S_Nandja      19 ger  1 13  4  1 38 273 792 385 359   4   0   5   0   0   0   0   4   0   0  94
Louis_Lemke   16 ger  1 13  4  3 16 115 640 590 250   2   0   3   0   1   0   0   0   0   0 100
A_Gronbaek    24 den  1  2 14  4 18 110 338 816 743   5   0   1  10   0   0   1   0   0   0  70
A_Lokonga     26 bel  1  3 14  4 30 581 505 360 957   5   0   1  11   1   0   0   2   0   0  80
G_Reyna       24 usa  1  3 14  5 24 538 316 832 561  11   0   2   3   6   0   0   4   0   0  96
N_Seiwald     25 aut  1  3 13  3 36 290 741 408 940   0   0   0   0   0   0   0   0   0   0 100
N_Remberg     25 ger  1  5 13  3 32 373 440 376 921   4   0   4   9   2   0   0   2   0   0  88
Omar_Megeed   20 egy  1  2 14  4 16 385 145 127 257   5   0   1  10   2   0   1   0   0   0  84
Damian_Downs  21 usa  1  3  5 14 20 471 752 427 129   4   0   0   0  10   1   0   0   0   0  99
Mathys_Tel    22 fra  1  3  5 14 27 721 139 337 910   2   0   0   0   4   1   0   0   0   0 100
Philip_Otele  26 nig  1  1  4 14 32 331 680 335 948   5   0   0   1  12   2   0   0   0   0  94
A_Lelesiit    19 nor  1  1  4 13 22 283 803 687 303   1   0   1   0   1   0   0   0   0   0 100
Ray_Phillipe  25 fra  1  1  4 13 20 315 564 617 978   4   0   1   0   8   0   0   0   0   0 100
Jean_L-Dompe  30 fra  1  1  4 13 20 315 535 617 920   1   0   0   0   0   0   0   0   0   0 100
Fabio_Balde   20 por  1  1  4 13 20 315 535 617 926   2   0   0   0   1   0   0   0   0   0 100
Otto_Stange   18 ger  1  3  3 13 26 315 535 617 920   0   0   0   0   0   0   0   0   0   0 100
